#' @name Analytik_Jena_UVX25.spct
#' @title Analytik Jena UVX-25 UV-C sensor
#' @note
#' Digitized with 'DigitizeIt' from manufacturers product manual. This are approximate
#' data, both because of the digitizing process, and because they are
#' either typical values or for a particular sensor unit. Individual sensor units
#' are expected to differ to some degree in spectral response.
#'
#' Manufacturer: Analytik Jena US LLC, Upland, CA, USA (former UVP)
#' \url{https://www.analytik-jena.us/} or \url{www.uvp.com}
#'
#' @references Product manual: 'UVP UVX Radiometer: Instruction Guide'
#'
w.length,s.e.response
2.504417609479E2,-1.224811635232E-1
2.506508793475E2,-1.188929311851E-1
2.508762124412E2,-1.151002534929E-1
2.509783230206E2,-1.134109993660E-1
2.510748816229E2,-1.117991080837E-1
2.511543538956E2,-1.104291824900E-1
2.512257476927E2,-1.091808378054E-1
2.515776189390E2,-1.029422445724E-1
2.517499885426E2,-1.000307034689E-1
2.518692497116E2,-9.804754252693E-2
2.519486640045E2,-9.675699768099E-2
2.520330684778E2,-9.538657406481E-2
2.521923137578E2,-9.280529610605E-2
2.523719001345E2,-8.979402204424E-2
2.525395838095E2,-8.690945505591E-2
2.526874518711E2,-8.433517880308E-2
2.527703931056E2,-8.286273781283E-2
2.529356300427E2,-7.990883516912E-2
2.530181904001E2,-7.841203087245E-2
2.530439299534E2,-7.791963006290E-2
2.531233985609E2,-7.645807531482E-2
2.531239696679E2,-7.645806149056E-2
2.532024328040E2,-7.499987196250E-2
2.533339614266E2,-7.259157421929E-2
2.534260531366E2,-7.092061482446E-2
2.535952590783E2,-6.783339320719E-2
2.537276893664E2,-6.536181070623E-2
2.538783082751E2,-6.251053106290E-2
2.540522798401E2,-5.911239474682E-2
2.541855539858E2,-5.644550570526E-2
2.543032902234E2,-5.400918110485E-2
2.543937326926E2,-5.215949091610E-2
2.544843120690E2,-5.026907067286E-2
2.545063853816E2,-4.983404187669E-2
2.545736485421E2,-4.845288663323E-2
2.546222575525E2,-4.746303008966E-2
2.547652033674E2,-4.452720100069E-2
2.548483233640E2,-4.280372013459E-2
2.549909622143E2,-3.984070693141E-2
2.551014086903E2,-3.748458289576E-2
2.552152757520E2,-3.510191627970E-2
2.553656893742E2,-3.203423266591E-2
2.555306901147E2,-2.851393722951E-2
2.556023242435E2,-2.694139468519E-2
2.557005284105E2,-2.478474862923E-2
2.558116658154E2,-2.234799252082E-2
2.559257195397E2,-1.984629055146E-2
2.560953498731E2,-1.610894984972E-2
2.562776364441E2,-1.206501077474E-2
2.563967146814E2,-9.327950942958E-3
2.564816371427E2,-7.360311539688E-3
2.565703285014E2,-5.319501509856E-3
2.567512444157E2,-1.275595613099E-3
2.568828979249E2,1.686275853096E-3
2.570730022904E2,6.206695651429E-3
2.571430300646E2,7.993538765430E-3
2.572107046719E2,9.751833195796E-3
2.572790951233E2,1.148461474525E-2
2.573485535325E2,1.324328154755E-2
2.574587354230E2,1.592366880770E-2
2.575927806534E2,1.919755573104E-2
2.576549525706E2,2.070391362328E-2
2.577350390926E2,2.263291320871E-2
2.578115899398E2,2.451330453320E-2
2.579837657461E2,2.891838972710E-2
2.581086820978E2,3.194506540863E-2
2.582135864366E2,3.437643659126E-2
2.582950985731E2,3.625546532906E-2
2.583844055061E2,3.850234701895E-2
2.584669913487E2,4.066007374570E-2
2.585722716971E2,4.355977502164E-2
2.586570341097E2,4.603492202281E-2
2.587087900962E2,4.759449559627E-2
2.589258307690E2,5.331947205262E-2
2.590100776558E2,5.537842525754E-2
2.590932203960E2,5.740497382104E-2
2.591949467633E2,6.001777829136E-2
2.593279292750E2,6.349035043641E-2
2.594252422726E2,6.604317584365E-2
2.594961933462E2,6.789765071366E-2
2.595544972814E2,6.933965012346E-2
2.597235090300E2,7.349311605053E-2
2.598503686562E2,7.659117944055E-2
2.599916389810E2,8.001392883806E-2
2.600583826568E2,8.168802642955E-2
2.601640552546E2,8.441439107978E-2
2.602461881622E2,8.654416238827E-2
2.603937633973E2,9.029001677017E-2
2.604729397468E2,9.229519677134E-2
2.605482954272E2,9.421628267530E-2
2.606858669906E2,9.775978888470E-2
2.608260485676E2,1.013223527308E-1
2.609376099803E2,1.041757605562E-1
2.610211849891E2,1.063358021170E-1
2.611083588150E2,1.085197501746E-1
2.611685921043E2,1.099776269250E-1
2.612941161687E2,1.128990538507E-1
2.613981656426E2,1.152623164413E-1
2.614759913463E2,1.169868505772E-1
2.615536326890E2,1.187582517163E-1
2.616905115479E2,1.220719159936E-1
2.617658207258E2,1.239873547346E-1
2.618891257569E2,1.271581273196E-1
2.619623477383E2,1.290074696149E-1
2.620297555513E2,1.305543067115E-1
2.621780730661E2,1.337648376790E-1
2.623019240295E2,1.363371605834E-1
2.623874993487E2,1.380241053813E-1
2.625500033318E2,1.411396023537E-1
2.626611131767E2,1.431954640183E-1
2.627594894395E2,1.449922995899E-1
2.629354837096E2,1.481205902510E-1
2.630815541221E2,1.507048182219E-1
2.631980685382E2,1.528385360120E-1
2.632488464646E2,1.537895447135E-1
2.633270338521E2,1.552978141111E-1
2.634102917878E2,1.568994416304E-1
2.635909956065E2,1.606133774265E-1
2.636812132944E2,1.627345268164E-1
2.637670542726E2,1.649031472479E-1
2.638214611057E2,1.667320857354E-1
2.638910777871E2,1.696680597557E-1
2.645810066870E2,1.819039115668E-1
2.646948953764E2,1.828895502656E-1
2.648126799232E2,1.841045027348E-1
2.649735358771E2,1.857882902426E-1
2.652670293346E2,1.910285513404E-1
2.656207039878E2,1.971508364607E-1
2.657296333716E2,1.987011819678E-1
2.658181214617E2,1.998549025169E-1
2.658992040345E2,2.008792841052E-1
2.660232764180E2,2.023274039354E-1
2.661167255258E2,2.034235738589E-1
2.662963479576E2,2.056166206573E-1
2.664573784801E2,2.076846584474E-1
2.666219517984E2,2.097811594526E-1
2.667650342430E2,2.115931764398E-1
2.667650371268E2,2.115805766136E-1
2.668503500187E2,2.126028132773E-1
2.671330882339E2,2.157362535879E-1
2.672441742387E2,2.169153318271E-1
2.673560259070E2,2.180920169358E-1
2.674948071072E2,2.195520323668E-1
2.675951655607E2,2.205919867175E-1
2.677535286720E2,2.222306181808E-1
2.678372703040E2,2.230516296301E-1
2.680473638498E2,2.248851479624E-1
2.681604662734E2,2.257844299018E-1
2.683064961834E2,2.268586904303E-1
2.684861031326E2,2.281583729038E-1
2.685802069031E2,2.287598705433E-1
2.687197740577E2,2.296307629809E-1
2.688974450740E2,2.306736791845E-1
2.689018573796E2,2.307073857116E-1
2.690625269846E2,2.315423677336E-1
2.692107895257E2,2.322591745206E-1
2.693812384373E2,2.328731133698E-1
2.694999305430E2,2.332163065647E-1
2.697130214564E2,2.336602285058E-1
2.698102901942E2,2.338253696280E-1
2.699839981970E2,2.339137646315E-1
2.701957083772E2,2.339530464775E-1
2.703435662309E2,2.338752108245E-1
2.706268201626E2,2.334934124885E-1
2.707691366780E2,2.331913539930E-1
2.708945550086E2,2.328740925950E-1
2.710344779954E2,2.324684236241E-1
2.711915682464E2,2.319864758229E-1
2.713432435940E2,2.315244029006E-1
2.715520912983E2,2.308962799858E-1
2.716686012371E2,2.305551730758E-1
2.717677366635E2,2.301965087384E-1
2.718858486875E2,2.296986083747E-1
2.720009787771E2,2.291959713979E-1
2.721371295160E2,2.285462465856E-1
2.722540710826E2,2.279882423270E-1
2.724249080454E2,2.271613156617E-1
2.725797098730E2,2.263583334712E-1
2.727561090631E2,2.254207735371E-1
2.728764912440E2,2.247867751319E-1
2.730846053884E2,2.237887183006E-1
2.732662881534E2,2.228787856026E-1
2.734075255824E2,2.220622062689E-1
2.738546415265E2,2.195127396073E-1
2.740089358392E2,2.185441263502E-1
2.741744598974E2,2.175168938836E-1
2.744239826720E2,2.161245261826E-1
2.745834215018E2,2.152511487004E-1
2.748605337555E2,2.137449161615E-1
2.752001486310E2,2.117488640510E-1
2.756891583278E2,2.080626316068E-1
2.757880490437E2,2.072128314030E-1
2.759874437486E2,2.054635634569E-1
2.760880573677E2,2.045529426143E-1
2.761729117334E2,2.037457440600E-1
2.762745482533E2,2.027316072947E-1
2.764433688243E2,2.008196972984E-1
2.765917789976E2,1.989249377159E-1
2.767687576176E2,1.966492843541E-1
2.769197525650E2,1.946429028769E-1
2.770562533392E2,1.927956076971E-1
2.771345767591E2,1.917186755886E-1
2.772389141254E2,1.902918641481E-1
2.773529032489E2,1.887428492733E-1
2.774321871798E2,1.876875752364E-1
2.775526651137E2,1.860186155552E-1
2.776314877095E2,1.848909639209E-1
2.777329945765E2,1.834075493622E-1
2.778698897800E2,1.813683824199E-1
2.780383248092E2,1.787500546886E-1
2.782027177256E2,1.758627015169E-1
2.783582559687E2,1.730088100937E-1
2.785030249867E2,1.703870229794E-1
2.786585457095E2,1.675968611791E-1
2.788204618366E2,1.646733073736E-1
2.789439135906E2,1.622822052931E-1
2.790599734088E2,1.598646231015E-1
2.790806069460E2,1.594700431298E-1
2.791562880827E2,1.577538765727E-1
2.791562901531E2,1.577448305437E-1
2.793103728042E2,1.542212301874E-1
2.794389891718E2,1.512823162496E-1
2.795010995210E2,1.498716275169E-1
2.795881034685E2,1.479197827589E-1
2.796384255439E2,1.468140111572E-1
2.797205520551E2,1.449918653402E-1
2.797645531511E2,1.440180492565E-1
2.799141624457E2,1.405593423885E-1
2.800155674256E2,1.381586107032E-1
2.800988388054E2,1.361939695455E-1
2.802084983851E2,1.335974108295E-1
2.802849840693E2,1.317564467014E-1
2.804000307778E2,1.289941197570E-1
2.805159587498E2,1.262294314719E-1
2.806329680677E2,1.234729592944E-1
2.807249888749E2,1.213021796306E-1
2.808592725363E2,1.180347685135E-1
2.809729288211E2,1.153032017350E-1
2.810560803468E2,1.132503507893E-1
2.811470562978E2,1.109530049908E-1
2.812227502270E2,1.090085221328E-1
2.812726404612E2,1.077371679841E-1
2.813180033429E2,1.065538758253E-1
2.813969519800E2,1.044771917248E-1
2.814530249974E2,1.029523866396E-1
2.815350505583E2,1.007065541865E-1
2.816014626725E2,9.884159275917E-2
2.816608434631E2,9.719610662434E-2
2.817147058419E2,9.569008325726E-2
2.817328943813E2,9.518718191912E-2
2.817916266872E2,9.353273496860E-2
2.817916288500E2,9.352328509902E-2
2.819126918299E2,9.012226644670E-2
2.821571726246E2,8.339726559143E-2
2.822188740883E2,8.169194526908E-2
2.822771799156E2,8.009331082078E-2
2.822797055080E2,8.002681865908E-2
2.823558664145E2,7.793661040653E-2
2.823804751951E2,7.722235353213E-2
2.824910283207E2,7.413834585668E-2
2.826236065012E2,7.039315063376E-2
2.826834305587E2,6.870693960364E-2
2.827382434790E2,6.715121922629E-2
2.828156558398E2,6.494190108520E-2
2.829296784570E2,6.177305510762E-2
2.830173639921E2,5.931769479344E-2
2.830994771752E2,5.706251519467E-2
2.831650236571E2,5.522498085625E-2
2.832292650264E2,5.343948988061E-2
2.833048875997E2,5.130264268857E-2
2.833942642852E2,4.875643335242E-2
2.835607205776E2,4.406266756667E-2
2.837498236527E2,3.800107358190E-2
2.838022612693E2,3.632985209124E-2
2.838974057694E2,3.325293444863E-2
2.839462135308E2,3.169075957652E-2
2.841022431020E2,2.704113641861E-2
2.841671619041E2,2.524733037133E-2
2.842697416550E2,2.240649075837E-2
2.845542868470E2,1.448486831930E-2
2.846294497963E2,1.213944075613E-2
2.847376310002E2,8.751037881075E-3
2.847901441966E2,7.055114568769E-3
2.848525076232E2,5.047642076268E-3
2.849110905340E2,3.112933581332E-3
2.850238201840E2,-6.049333219083E-4
2.850890044644E2,-2.632059861762E-3
2.851612848539E2,-4.795732055317E-3
2.852236377385E2,-6.589988979425E-3
2.852236409683E2,-6.604100784673E-3
2.854602877495E2,-1.370651377705E-2
2.856000631238E2,-1.787926202013E-2
2.856776072310E2,-2.024984846049E-2
2.857379711195E2,-2.212296103325E-2
2.857964550075E2,-2.393300886555E-2
2.858800966559E2,-2.659800835205E-2
2.859392022623E2,-2.852654246379E-2
2.859591167782E2,-2.915207447102E-2
2.860360849300E2,-3.172999852502E-2
2.860417288831E2,-3.194586012279E-2
2.861031839571E2,-3.407964412875E-2
2.861991080278E2,-3.755002888140E-2
2.862501667103E2,-3.941545368517E-2
2.862975593346E2,-4.115624210628E-2
2.864055462436E2,-4.520278241086E-2
2.864644465840E2,-4.740546845747E-2
2.865753543341E2,-5.151555984208E-2
2.866323555535E2,-5.359651411492E-2
2.866856695447E2,-5.553541631525E-2
2.867918513766E2,-5.945817749035E-2
2.868455506655E2,-6.145983463413E-2
2.869005065042E2,-6.342419959265E-2
2.870015085121E2,-6.706402118154E-2
2.870604625893E2,-6.921579519410E-2
2.871102491210E2,-7.104940836239E-2
2.871552230295E2,-7.263911888728E-2
2.872203408715E2,-7.489291400912E-2
2.872944724943E2,-7.741074875977E-2
2.873527804057E2,-7.939322648063E-2
2.874780438154E2,-8.373951407879E-2
2.875595764318E2,-8.680986735014E-2
2.876373326861E2,-8.991556359416E-2
2.876826434650E2,-9.184839332266E-2
2.877625846494E2,-9.530566968520E-2
2.878166230904E2,-9.762682244172E-2
2.878193868971E2,-9.772503472896E-2
2.878758596602E2,-1.001103280298E-1
2.879904175021E2,-1.046926156202E-1
2.880721560722E2,-1.076947814649E-1
2.881655116044E2,-1.109815665888E-1
2.881659684900E2,-1.109815555294E-1
2.882266196522E2,-1.131287481321E-1
2.882672344419E2,-1.144864096665E-1
2.883707019920E2,-1.180297423030E-1
2.884433322504E2,-1.205953365309E-1
2.884895851725E2,-1.222699606748E-1
2.885597908206E2,-1.248566640663E-1
2.886057713039E2,-1.265591697069E-1
2.886604945493E2,-1.285935104374E-1
2.887066500878E2,-1.302924360712E-1
2.888471851333E2,-1.357265851753E-1
2.889370335245E2,-1.393186470784E-1
2.890274487079E2,-1.428901952840E-1
2.890772306453E2,-1.449681573482E-1
2.891405860403E2,-1.474765889113E-1
2.891893351664E2,-1.494687188344E-1
2.892643679824E2,-1.524668933796E-1
2.893167727609E2,-1.545613375537E-1
2.893607331535E2,-1.563691877332E-1
2.895632670624E2,-1.650427058010E-1
2.896969283915E2,-1.702466150629E-1
2.898930307198E2,-1.771119095213E-1
2.900544562384E2,-1.829151175342E-1
2.901157284151E2,-1.854806164888E-1
2.902199259372E2,-1.899748449881E-1
2.902716163090E2,-1.923958734907E-1
2.903140559140E2,-1.943467724685E-1
2.903533103713E2,-1.961015044615E-1
2.904034626907E2,-1.982192087364E-1
