w.length,s.e.response
8.134647436202E2,2.117599777675E-1
8.277449750771E2,2.171923279037E-1
8.423281439517E2,2.230563089858E-1
8.558850536944E2,2.288157920707E-1
8.697924091185E2,2.351420506429E-1
8.839448991195E2,2.420450637396E-1
8.957085077420E2,2.497450708870E-1
9.170755412863E2,2.623118047781E-1
9.388087024283E2,2.714289429451E-1
9.561952313418E2,2.845981425197E-1
9.648884957986E2,2.947282960386E-1
9.793772698933E2,3.058714649093E-1
9.915434847040E2,3.151065968805E-1
1.003445283913E3,3.245801886235E-1
1.016103884290E3,3.347060622693E-1
1.026096689340E3,3.433592728516E-1
1.036624631928E3,3.525792508670E-1
1.046309463627E3,3.618070413652E-1
1.056548267216E3,3.726920849668E-1
1.064736353420E3,3.828506884855E-1
1.073473438937E3,3.943953633614E-1
1.081266299393E3,4.051184308389E-1
1.089192693685E3,4.167555950401E-1
1.096511109211E3,4.272785771523E-1
1.103618702267E3,4.374911041492E-1
1.111655407118E3,4.487078802651E-1
1.119809652924E3,4.582926797468E-1
1.128499080276E3,4.675742758028E-1
1.137372255181E3,4.772697641011E-1
1.146061682534E3,4.865513601571E-1
1.154934857439E3,4.962468484554E-1
1.163519755239E3,5.059878922223E-1
1.171740418538E3,5.154716234135E-1
1.180480460723E3,5.252706245267E-1
1.188864493315E3,5.352038070443E-1
1.197400995852E3,5.454465088522E-1
1.206136401445E3,5.562714151296E-1
1.213974256998E3,5.663054216298E-1
1.222076630871E3,5.764766995232E-1
1.223631873921E3,5.785301650738E-1
1.229693511746E3,5.870051584275E-1
1.231346718685E3,5.893077789836E-1
1.237144312703E3,5.974239498377E-1
1.238561900158E3,5.994079177475E-1
1.245623227430E3,6.098004930429E-1
1.246141396769E3,6.105123874105E-1
1.252576905142E3,6.205364148735E-1
1.253242558409E3,6.216135307279E-1
1.259992629277E3,6.321264746362E-1
1.260510798616E3,6.328383690038E-1
1.266750706184E3,6.427164560676E-1
1.267710088521E3,6.444755006788E-1
1.273750546005E3,6.544012971683E-1
1.274983253749E3,6.563405239002E-1
1.280153604293E3,6.648162783669E-1
1.281680911860E3,6.673079244520E-1
1.287101728433E3,6.761253247983E-1
1.289352655596E3,6.797828045731E-1
1.293694371401E3,6.874928068660E-1
1.295413660736E3,6.907465962659E-1
1.300052700131E3,6.997095349257E-1
1.301364090146E3,7.021109513269E-1
1.305618664455E3,7.102196896352E-1
1.307059318724E3,7.128847468161E-1
1.311120122213E3,7.215191975271E-1
1.312557465579E3,7.245288465318E-1
1.316080256092E3,7.329510405746E-1
1.317522047751E3,7.361161183348E-1
1.320870056708E3,7.441140313713E-1
1.322319849976E3,7.473435110014E-1
1.325943103664E3,7.558925970404E-1
1.327522758600E3,7.598894738734E-1
1.330585632132E3,7.671397443932E-1
1.332511724334E3,7.717967589799E-1
1.335375432748E3,7.783027351898E-1
1.337744990196E3,7.840120120762E-1
1.339940802840E3,7.896104598186E-1
1.342795051354E3,7.955674267926E-1
1.344674313064E3,8.001395692469E-1
1.351855511939E3,8.143978122457E-1
1.356170180126E3,8.262583842017E-1
1.360959980742E3,8.374213749983E-1
1.366187477368E3,8.491198747784E-1
1.371147854929E3,8.597232252512E-1
1.376248105585E3,8.704365955852E-1
1.382174679698E3,8.818028131582E-1
1.387847799178E3,8.922654928630E-1
1.395171473237E3,9.021468155863E-1
1.408187175371E3,9.162750626076E-1
1.425631512009E3,9.329279677290E-1
1.441569163513E3,9.471101826554E-1
1.460404569836E3,9.592663668781E-1
1.470546711702E3,9.714225511008E-1
1.481956344173E3,9.855239298679E-1
1.495527445917E3,9.938961729654E-1
1.511115279167E3,1.005865073065E0
1.525604053262E3,1.019034272640E0
1.541541704766E3,1.030177441510E0
1.564723743317E3,1.052463779252E0
1.582110272231E3,1.064619963475E0
1.602394555963E3,1.083867255161E0
1.617131360120E3,1.100492103654E0
1.630754493925E3,1.110008719424E0
1.642528707671E3,1.119459885516E0
1.656784066646E3,1.130084660685E0
1.668530482442E3,1.138377168133E0
1.683127970032E3,1.147945445959E0
1.695979334542E3,1.156073166401E0
1.708954792671E3,1.163810846629E0
1.721686095379E3,1.170868317342E0
1.735721576241E3,1.178088098424E0
1.750316414351E3,1.184886347738E0
1.764137623249E3,1.190639187528E0
1.780699111484E3,1.196500396655E0
1.796944364388E3,1.201288288162E0
1.813192403235E3,1.204821667795E0
1.830015188914E3,1.207093793028E0
1.847577791172E3,1.208225596261E0
1.864326127325E3,1.206915467068E0
1.881616420547E3,1.203651870865E0
1.896471454957E3,1.199448694747E0
1.912494372850E3,1.193746266949E0
1.926532090412E3,1.187617193024E0
1.941208414457E3,1.180084394150E0
1.954521494204E3,1.172424290063E0
1.969717706872E3,1.162457333995E0
1.981920294155E3,1.153367470060E0
1.992409387289E3,1.144958077399E0
2.002827203628E3,1.135634372567E0
2.012062068854E3,1.126598611315E0
2.021585388554E3,1.116281379083E0
2.029771646410E3,1.106351089848E0
2.038055098566E3,1.094846143192E0
2.044921812797E3,1.083723067482E0
2.050711685470E3,1.073392921243E0
2.056569517075E3,1.062457330382E0
2.061643173234E3,1.051840833905E0
2.066409093078E3,1.040727933452E0
2.070882297820E3,1.029705949250E0
2.075123606528E3,1.018601518884E0
2.079243535025E3,1.006781642732E0
2.082645423194E3,9.953107505472E-1
2.085975442771E3,9.844505653682E-1
2.089018012662E3,9.724895876974E-1
2.091919827775E3,9.603287938544E-1
2.094577084286E3,9.493837471637E-1
2.096717404042E3,9.380235918543E-1
2.098825411650E3,9.268206929629E-1
2.100638923701E3,9.151970878490E-1
2.102257698910E3,9.040185928985E-1
2.103832124112E3,8.918323279455E-1
2.105428724317E3,8.807778662260E-1
2.106258891294E3,8.694006904224E-1
2.107025324522E3,8.582658347861E-1
2.108297430519E3,8.472103394564E-1
2.108621924728E3,8.348235541131E-1
2.110120954920E3,8.233680516132E-1
2.110243471811E3,8.113812734402E-1
2.111621799431E3,7.996786911060E-1
2.111840072016E3,7.879389927672E-1
2.113382158673E3,7.765175994058E-1
2.113436672222E3,7.644967120942E-1
2.114932849903E3,7.527400531507E-1
2.115008325549E3,7.410544314213E-1
2.116507355741E3,7.295989289213E-1
2.116604925754E3,7.176121507483E-1
2.118103955946E3,7.061566482484E-1
2.118201525959E3,6.941698700753E-1
2.119604800458E3,6.824672877412E-1
2.119798126164E3,6.707275894024E-1
2.121070232161E3,6.596720940726E-1
2.121394726370E3,6.472853087294E-1
2.122666832366E3,6.362298133997E-1
2.122991326575E3,6.238430280564E-1
2.124263432572E3,6.127875327267E-1
2.124587926780E3,6.015170464631E-1
2.125860032777E3,5.904615511334E-1
2.126184526985E3,5.780747657902E-1
2.127683557178E3,5.666192632902E-1
2.127806074069E3,5.546324851172E-1
