w.length,s.e.response
1.909625746798E2,1.338098927923E-1
1.983125700019E2,1.368804937720E-1
2.051580159329E2,1.379830418681E-1
2.121888834835E2,1.391101767931E-1
2.189647107001E2,1.399232343455E-1
2.262265614649E2,1.386224172324E-1
2.327603108019E2,1.355440762729E-1
2.378875529172E2,1.311387641261E-1
2.429004697557E2,1.253397657686E-1
2.468652515934E2,1.194021265416E-1
2.505022217630E2,1.132110887507E-1
2.543297923078E2,1.075345001000E-1
2.596630814117E2,1.026471320584E-1
2.666191004393E2,1.026772194183E-1
2.726957645026E2,1.061279292770E-1
2.771287071865E2,1.106070104788E-1
2.812578328548E2,1.156897959722E-1
2.852855844938E2,1.210216142340E-1
2.897815492770E2,1.261676050497E-1
2.950165877096E2,1.306703470134E-1
3.014903934783E2,1.352687516269E-1
3.084601013224E2,1.394186813416E-1
3.145343032250E2,1.422878111277E-1
3.209696176021E2,1.457486998693E-1
3.267719856742E2,1.502646966578E-1
3.313697428715E2,1.549873527590E-1
3.364980350992E2,1.596202564028E-1
3.434057655605E2,1.611504464603E-1
3.523337661125E2,1.617442146313E-1
3.617732844760E2,1.627999293645E-1
3.683805609951E2,1.654522043956E-1
3.739755410062E2,1.691135373764E-1
3.801296311410E2,1.732372273360E-1
3.857247232194E2,1.770081211116E-1
3.911333726204E2,1.807218229314E-1
3.968409616179E2,1.850001346638E-1
4.022485837351E2,1.893544345848E-1
4.072584415506E2,1.935108117821E-1
4.122814485993E2,1.976869812517E-1
4.199096474582E2,2.042481195418E-1
4.208876216709E2,2.050892911174E-1
4.254475291659E2,2.088565381026E-1
4.258494026028E2,2.091467069529E-1
4.305523080079E2,2.131051614265E-1
4.319329774846E2,2.142926977686E-1
4.359599301251E2,2.175160106971E-1
4.374556553915E2,2.187459590514E-1
4.419428311909E2,2.226054521632E-1
4.422879985601E2,2.229023362487E-1
4.473504533080E2,2.269597520841E-1
4.526430196355E2,2.312150906433E-1
4.574753628040E2,2.353714678406E-1
4.582807533321E2,2.360641973735E-1
4.625378175520E2,2.393629094348E-1
4.642636543979E2,2.406729693677E-1
4.676002723000E2,2.434862995115E-1
4.693281637136E2,2.449071019208E-1
4.726627270480E2,2.474942346660E-1
4.746186754733E2,2.489857237623E-1
4.779552933754E2,2.517990539061E-1
4.808807694574E2,2.541325981616E-1
4.843984176001E2,2.567966026790E-1
4.861242544460E2,2.582315424257E-1
4.900505332704E2,2.613364551535E-1
4.918564982556E2,2.626088155200E-1
4.962635459157E2,2.661237110325E-1
4.983145180960E2,2.676191762549E-1
5.026419512587E2,2.710841492947E-1
5.037797251793E2,2.719067656150E-1
5.081646291656E2,2.753147475134E-1
5.089220797813E2,2.758105851701E-1
5.136873070725E2,2.794711247107E-1
5.144447576882E2,2.799669623674E-1
5.192099849794E2,2.835347256313E-1
5.198164248710E2,2.838908098172E-1
5.245672701885E2,2.874622546793E-1
5.251904890495E2,2.878223640793E-1
5.304207334909E2,2.916474956072E-1
5.363817191682E2,2.958462848167E-1
5.416962008841E2,2.994984303132E-1
5.477625696955E2,3.036380140672E-1
5.532852476024E2,3.072006230935E-1
5.534347678310E2,3.073345208149E-1
5.591553416962E2,3.109822366123E-1
5.597273607308E2,3.113041459271E-1
5.654222388030E2,3.146104900086E-1
5.713271011626E2,3.179414009269E-1
5.721772688140E2,3.183678130113E-1
5.776906492834E2,3.211117416806E-1
5.795221718452E2,3.220581846544E-1
5.836540489739E2,3.241154589187E-1
5.856812622581E2,3.250984151364E-1
5.902602328206E2,3.274777686492E-1
5.921969762265E2,3.284618719191E-1
5.963780920034E2,3.306243276167E-1
5.980464300089E2,3.314978329966E-1
6.022736552652E2,3.336805843416E-1
6.044883862430E2,3.348152513258E-1
6.089234382831E2,3.371661234588E-1
6.106721468254E2,3.380625184731E-1
6.151810786286E2,3.402203109915E-1
6.168851594706E2,3.410313593284E-1
6.213940912739E2,3.431891518467E-1
6.235936093195E2,3.442178701972E-1
6.283823010188E2,3.462725179870E-1
6.300038206153E2,3.469820709514E-1
6.346236940921E2,3.486964116097E-1
6.371356060396E2,3.497263594801E-1
6.412838902401E2,3.511751538175E-1
6.435548954115E2,3.519240551688E-1
6.489618171079E2,3.536036270807E-1
6.504947027508E2,3.540153053573E-1
6.557504822595E2,3.554762994918E-1
6.574697818447E2,3.558580504422E-1
6.628530199791E2,3.570485668707E-1
6.646067148949E2,3.574111119270E-1
6.698111963028E2,3.583560215709E-1
6.716196023442E2,3.587118371803E-1
6.766602377272E2,3.594174732125E-1
6.784153521625E2,3.595491271671E-1
6.856309938325E2,3.602359661427E-1
6.924727041859E2,3.606565519305E-1
6.994376885997E2,3.606565519305E-1
7.063410359833E2,3.606565519305E-1
7.135367587235E2,3.604120224039E-1
7.207817143010E2,3.598268508764E-1
7.275688291879E2,3.589596944462E-1
7.344085223294E2,3.579040123376E-1
7.411766839493E2,3.565632943198E-1
7.483676708073E2,3.548826005245E-1
7.556080745675E2,3.527569933519E-1
7.624802423302E2,3.504542352906E-1
7.698604610968E2,3.475936521676E-1
7.767503853049E2,3.445885254797E-1
7.839393325375E2,3.410878722636E-1
7.902962695161E2,3.376287828195E-1
7.963015890282E2,3.340663087406E-1
8.022013361369E2,3.302736145480E-1
8.078705794305E2,3.263788102231E-1
8.132134826659E2,3.224203557494E-1
8.192107657054E2,3.175588788490E-1
8.245033320329E2,3.130561368853E-1
8.295657867808E2,3.084049528788E-1
8.347494610216E2,3.034586519539E-1
8.403645944738E2,2.979058592544E-1
8.448394428671E2,2.931092373893E-1
8.491879764398E2,2.882445442447E-1
8.534918125815E2,2.831990441937E-1
8.586020329149E2,2.770726861494E-1
8.626696386011E2,2.719095106147E-1
8.668269878032E2,2.665655970753E-1
8.705509601974E2,2.615922702738E-1
8.746978024649E2,2.560777083618E-1
8.785651537981E2,2.505368767065E-1
8.822005332342E2,2.453034700212E-1
8.858750665041E2,2.400508408411E-1
8.896993117623E2,2.345890733162E-1
8.933858910248E2,2.291863827255E-1
8.969204223179E2,2.240191002229E-1
9.007239575339E2,2.186326033096E-1
9.044796574338E2,2.134608225633E-1
9.085431490038E2,2.081260854411E-1
9.126223013603E2,2.027444369919E-1
9.199451777657E2,1.927243988267E-1
9.234983794756E2,1.877210723096E-1
9.271028943245E2,1.825505660656E-1
9.311261076517E2,1.767721571692E-1
9.350732824671E2,1.708241694826E-1
9.386953665674E2,1.653375916446E-1
9.419912733148E2,1.601102525903E-1
9.450783131276E2,1.548684991638E-1
9.485417829433E2,1.491722731802E-1
9.518149603613E2,1.436415013471E-1
9.554396971368E2,1.375926942742E-1
9.592106506451E2,1.314026610910E-1
9.623401681257E2,1.260191630069E-1
9.657947182122E2,1.203734173139E-1
9.690733724021E2,1.150470469251E-1
9.723999042447E2,1.098036798429E-1
9.759116377228E2,1.047414491813E-1
9.800932764806E2,9.936144616116E-2
9.841576222527E2,9.464841130351E-2
9.894933345012E2,8.950242048781E-2
9.952901739185E2,8.486424283173E-2
