w.length,s.e.response
3.205529333295E2,8.572897777162E-3
3.209556759620E2,1.030962582637E-2
3.213541793263E2,1.030962582637E-2
3.217526826907E2,1.030962582637E-2
3.222306677700E2,1.232647130286E-2
3.227086528494E2,1.434331677936E-2
3.231069372558E2,1.636016225586E-2
3.235849223351E2,1.837700773235E-2
3.239832067416E2,2.039385320885E-2
3.245089967152E2,2.255355857326E-2
3.250001183557E2,2.592337122358E-2
3.254921854686E2,2.874135254213E-2
3.259943760389E2,3.211676754098E-2
3.264262951146E2,3.632693247317E-2
3.268243605631E2,4.036062342616E-2
3.272224260117E2,4.439431437916E-2
3.275702016981E2,4.874173685071E-2
3.279388562360E2,5.246169628514E-2
3.284164033995E2,5.851223271463E-2
3.288028805016E2,6.375603095352E-2
3.292804276652E2,6.980656738301E-2
3.297693442173E2,7.666384200310E-2
3.302011291813E2,8.210932478964E-2
3.305644971025E2,8.762203575873E-2
3.310429140155E2,9.585748812109E-2
3.313610598333E2,1.019080245506E-1
3.317586873661E2,1.099754064566E-1
3.321563148989E2,1.180427883625E-1
3.325793841223E2,1.262782407249E-1
3.329770116551E2,1.343456226309E-1
3.333347888515E2,1.424130045369E-1
3.336985983377E2,1.499761750737E-1
3.340503432442E2,1.585477683488E-1
3.344081204405E2,1.666151502548E-1
3.347658976368E2,1.746825321608E-1
3.350838244968E2,1.827499140668E-1
3.354017513567E2,1.908172959728E-1
3.357097430022E2,1.986325721942E-1
3.360772364550E2,2.089689052613E-1
3.363951633150E2,2.170362871672E-1
3.367130901749E2,2.251036690732E-1
3.369890014481E2,2.327228630955E-1
3.372471740909E2,2.405941628024E-1
3.375648819929E2,2.506783901849E-1
3.378550924330E2,2.591379364891E-1
3.381431041708E2,2.674574240797E-1
3.384907271949E2,2.772895457776E-1
3.388162050610E2,2.871776909609E-1
3.390743777039E2,2.950489906678E-1
3.393645881439E2,3.035085369720E-1
3.396105842950E2,3.113798366789E-1
3.398687569379E2,3.192511363858E-1
3.401069922481E2,3.272344830636E-1
3.403452184352E2,3.353018649696E-1
3.406629172140E2,3.454701275802E-1
3.409011525242E2,3.534534742580E-1
3.412012890554E2,3.622491614750E-1
3.414793655789E2,3.703165433810E-1
3.417475068880E2,3.781318196024E-1
3.420010208975E2,3.860899557117E-1
3.422392470846E2,3.941573376177E-1
3.425416671641E2,4.043508107968E-1
3.427951811736E2,4.123089469062E-1
3.430976012531E2,4.225024200853E-1
3.434153091552E2,4.325866474678E-1
3.436688231647E2,4.405447835771E-1
3.439070493518E2,4.486121654831E-1
3.441452755388E2,4.566795473891E-1
3.443957204886E2,4.663968209418E-1
3.446339466756E2,4.744642028478E-1
3.449074798228E2,4.835960309775E-1
3.450879716794E2,4.932544798705E-1
3.453171865327E2,5.027560630042E-1
3.455048662903E2,5.114621126444E-1
3.457665337443E2,5.238489052793E-1
3.460621998852E2,5.330367568944E-1
3.463524103252E2,5.414963031986E-1
3.466778881913E2,5.513844483820E-1
3.469360608342E2,5.592557480889E-1
3.472537687362E2,5.693399754713E-1
3.475439791762E2,5.777995217755E-1
3.477974931858E2,5.857576578849E-1
3.480357193728E2,5.938250397909E-1
3.482739455598E2,6.018924216968E-1
3.485121717469E2,6.099598036028E-1
3.488245270408E2,6.204053824665E-1
3.490805344333E2,6.278284942897E-1
3.493785148375E2,6.360919583948E-1
3.496886717333E2,6.443554224999E-1
3.499412512184E2,6.527645476672E-1
3.501549316175E2,6.626078740622E-1
3.503929388466E2,6.726921014447E-1
3.505812508451E2,6.816922743835E-1
3.508491211938E2,6.920033968821E-1
3.511670480537E2,7.000707787881E-1
3.514849749136E2,7.081381606941E-1
3.517863624242E2,7.168307646978E-1
3.520110458831E2,7.260628748665E-1
3.522490531123E2,7.361471022489E-1
3.525576992594E2,7.477221145795E-1
3.527616210702E2,7.560942642464E-1
3.530864329394E2,7.619207067340E-1
3.534610698935E2,7.676351022507E-1
3.537992229887E2,7.729293216265E-1
3.540773405668E2,7.806185450057E-1
3.543455503002E2,7.878035570157E-1
3.546633676812E2,7.968793616599E-1
3.549148833959E2,8.048907200805E-1
3.551531095829E2,8.129581019865E-1
3.553913357700E2,8.210254838924E-1
3.556295619570E2,8.290928657984E-1
3.559341992893E2,8.372162711899E-1
3.562521261492E2,8.452836530959E-1
3.565700530091E2,8.533510350018E-1
3.568581058016E2,8.612923640655E-1
3.571758137036E2,8.713765914480E-1
3.574935216056E2,8.814608188305E-1
3.577616218601E2,8.896542535788E-1
3.580796581990E2,8.967132127465E-1
3.584771762528E2,9.057890173907E-1
3.588084595442E2,9.131841174712E-1
3.591798121298E2,9.185623720752E-1
3.595921682302E2,9.255541030604E-1
3.599089419119E2,9.320080085852E-1
3.603018764472E2,9.404787595865E-1
3.606775571005E2,9.488150542227E-1
3.610320590517E2,9.564622599877E-1
3.613401601762E2,9.632691134709E-1
3.618067740423E2,9.721432335675E-1
3.622156633094E2,9.743617635916E-1
3.626674476440E2,9.770845049849E-1
3.630649644814E2,9.820930045849E-1
3.634894508490E2,9.874712591888E-1
3.638614250318E2,9.912024233204E-1
3.642594904804E2,9.952361142734E-1
3.646836471947E2,9.995723320478E-1
3.650820410801E2,1.000580754786E0
3.654805444445E2,1.000580754786E0
3.658790478088E2,1.000580754786E0
3.663495883198E2,9.977571711190E-1
3.667376966582E2,9.956226763230E-1
3.671472519222E2,9.917066346895E-1
3.676258938752E2,9.876729437365E-1
3.679841473050E2,9.821770398130E-1
3.684632271738E2,9.741096579071E-1
3.688315855103E2,9.673028044239E-1
3.691860509685E2,9.599917395716E-1
