#' @name KIPP_CM21.spct
#'
#' @title Kipp pyranometer CM21
#'
#' @note
#' Spectral data digitized from figure in manufacturer's manual.
#' This is typical measured data, and for specific sensor units the
#' calibration data supplied with the sensor must be used as individual
#' may differ in their spectral response. Furthermore, the digigitizing
#' process from figures with a linear scale is prone to errors, which
#' are specially noticeable in regions of low responsivity.
#'
#' Manufacturer: Kipp & Zonen B.V., Delftechpark 36, 2628 XH Delft
#' \url{http://www.kippzonen.com/}
#'
#' @references
#' Manufacturer's manual cited by Rodziewicz and Rajfur (2019)
#' \doi{10.1016/j.opelre.2019.02.002}.
#'
w.length,s.e.response
2.5E2,0
3.012931142645E2,-9.339769787835E-4
3.013543882083E2,4.937209549949E-2
3.014065943594E2,9.222541649950E-2
3.015982045674E2,2.384915379353E-2
3.025642567899E2,1.332155496300E-1
3.026166725368E2,1.760688706300E-1
3.037766948275E2,2.151958158908E-1
3.038293206152E2,2.580491368909E-1
3.038819555197E2,3.009024578909E-1
3.061677383786E2,3.400294031517E-1
3.062207783868E2,3.828827241518E-1
3.071570283818E2,4.253679506842E-1
3.089147533421E2,4.648154093194E-1
3.089657751174E2,5.056717057629E-1
3.098732563981E2,5.451191643981E-1
3.107869428508E2,5.873842986500E-1
3.125672202410E2,6.282405950936E-1
3.126206256002E2,6.705057293455E-1
3.161602277510E2,7.113620257891E-1
3.188525536067E2,7.508094844242E-1
3.206808593728E2,7.930746186762E-1
3.243135692784E2,8.353397529281E-1
3.288908407753E2,8.719695359465E-1
3.335422118547E2,9.156435080068E-1
3.429729099818E2,9.522732910252E-1
3.615694743717E2,9.790412093848E-1
3.918781906894E2,9.959472630856E-1
4.270656486305E2,9.987649387023E-1
4.615485099101E2,9.973561008939E-1
5.015930167310E2,9.973561008939E-1
5.420996679070E2,9.987649387023E-1
5.924063951949E2,9.973561008939E-1
6.420212392869E2,9.973561008939E-1
6.977237783348E2,9.973561008939E-1
7.561590969980E2,9.973561008939E-1
8.172095275510E2,9.945384252772E-1
8.930463879540E2,9.931295874688E-1
9.624757304526E2,9.903119118520E-1
1.043078446227E3,9.889030740436E-1
1.133570737959E3,9.874942362352E-1
1.225106412112E3,9.874942362352E-1
1.338803635962E3,9.874942362352E-1
1.454959858290E3,9.874942362352E-1
1.572447657714E3,9.874942362352E-1
1.718380232684E3,9.874942362352E-1
1.846866538028E3,9.874942362352E-1
2.001487139366E3,9.804500471932E-1
2.040676707850E3,9.748146959596E-1
2.133172403452E3,9.635439934924E-1
2.279770943517E3,9.395937507496E-1
2.409523509810E3,9.114169945816E-1
2.518508061241E3,8.776048871801E-1
2.603321144150E3,8.381574285449E-1
2.646551649494E3,7.958922942930E-1
2.668237821890E3,7.564448356578E-1
2.682681864964E3,7.198150526395E-1
2.704587080505E3,6.733234049623E-1
2.718747882073E3,5.930196498836E-1
2.725817254412E3,5.493456778233E-1
2.732936135952E3,5.084893813797E-1
2.747198433677E3,4.239591128758E-1
2.761110577042E3,3.013902020480E-1
2.776009943312E3,2.605339056045E-1
2.798740974538E3,2.196776091609E-1
2.806018347390E3,1.760036371006E-1
2.821401044684E3,1.562799077830E-1
2.836868070498E3,1.365561784654E-1
2.868285633069E3,1.168324491478E-1
2.981810531587E3,1.140147735310E-1
3.074179517940E3,1.140147735310E-1
3.160452021151E3,9.992639544704E-2
3.186730241768E3,9.006453078825E-2
3.239962437625E3,7.174963927908E-2
3.284998111857E3,5.625242338669E-2
3.340004950086E3,4.779939653630E-2
3.433835243003E3,4.075520749431E-2
3.569744230935E3,3.793753187751E-2
3.700754502482E3,3.511985626072E-2
3.815438020308E3,3.793753187751E-2
3.966540955012E3,4.075520749431E-2
4.123628024893E3,4.357288311111E-2
4.204465363631E3,4.357288311111E-2
4.274892898441E3,3.652869406912E-2
4.346499956417E3,2.948450502712E-2
