Line 6 x,Line 6 y
2.197531085535E2,3.026282853567E1
2.228288345883E2,3.083843603971E1
2.228299848801E2,3.083943523506E1
2.263492232187E2,3.135150496804E1
2.263492232187E2,3.135150496804E1
2.315904862166E2,3.266296176228E1
2.330480739883E2,3.332051033744E1
2.344443665230E2,3.399088100041E1
2.358234368115E2,3.464896907888E1
2.414248706084E2,3.661252849552E1
2.414364658833E2,3.661402031192E1
2.429557694957E2,3.703085471921E1
2.436352769653E2,3.719407825344E1
2.438058491776E2,3.722728945599E1
2.458900735887E2,3.766120829272E1
2.526993946657E2,3.864974545597E1
2.527033423534E2,3.864913162231E1
2.632487404583E2,3.861674961723E1
2.632520033259E2,3.861674961723E1
2.737684236368E2,3.840360517058E1
2.737694208737E2,3.840284128869E1
2.814846336175E2,4.011358574625E1
2.831505234281E2,4.079802307833E1
2.846531310737E2,4.149079374369E1
2.860817523034E2,4.221475545788E1
2.905807311208E2,4.429297011477E1
2.905902990002E2,4.429536361136E1
2.918886048685E2,4.498878283190E1
2.918886048685E2,4.498878283190E1
2.934260654037E2,4.571484023295E1
2.952180089859E2,4.646875292799E1
3.023454832521E2,4.806624044608E1
3.023498114821E2,4.806583603802E1
3.136046210092E2,4.858623559300E1
3.136530193701E2,4.857377384015E1
3.136635914575E2,4.857038623980E1
3.236795469401E2,4.847721287983E1
3.237143844476E2,4.847423508718E1
3.237180920658E2,4.847360378862E1
3.334719403906E2,4.848346214882E1
3.335647366804E2,4.847717751100E1
3.335647366804E2,4.847717751100E1
3.336159597719E2,4.847313567101E1
3.422493746098E2,4.798901692471E1
3.422575684307E2,4.799373845158E1
3.422575684307E2,4.799373845158E1
3.422644210598E2,4.800010246365E1
3.451656785175E2,4.747836480937E1
3.456221985791E2,4.739738513225E1
3.521801671765E2,4.639308622818E1
3.522004176327E2,4.638553472117E1
3.522019065124E2,4.638592445683E1
3.630267862061E2,4.518729365571E1
3.631042489363E2,4.517858253157E1
3.631669650406E2,4.517299264881E1
3.726465154898E2,4.550190491113E1
3.726465154898E2,4.550190491113E1
3.726487241276E2,4.550164710099E1
3.754815765308E2,4.608928267270E1
3.754815765308E2,4.608928267270E1
3.814546117010E2,4.751373429543E1
3.814576715005E2,4.751325852124E1
3.840076244313E2,4.813784577851E1
3.840076244313E2,4.813784577851E1
3.918119169232E2,4.975244414158E1
3.918198052227E2,4.975271269381E1
3.999543085311E2,5.134839570567E1
4.000277230517E2,5.134839570567E1
4.061956393930E2,5.194901027002E1
4.152391968886E2,5.248781389148E1
4.218101478786E2,5.283545138758E1
4.258755685691E2,5.314927044555E1
4.320655074558E2,5.380274821133E1
4.358976463163E2,5.428402707811E1
4.453138684814E2,5.468628366065E1
4.554651660919E2,5.529094845898E1
4.653794648347E2,5.553494587727E1
4.753598116666E2,5.550720374371E1
4.851148730574E2,5.556551191741E1
4.952409733321E2,5.567660504522E1
5.017799079228E2,5.538064173593E1
5.054890875450E2,5.501609364509E1
5.148822751305E2,5.461157806893E1
5.212063409007E2,5.434516086338E1
5.254253569205E2,5.413417746543E1
5.314412087787E2,5.366207269288E1
5.355230536894E2,5.334267306288E1
5.421991516568E2,5.250854132284E1
5.458904801736E2,5.200332211889E1
5.552632247031E2,5.155469116344E1
5.625101971290E2,5.102625580097E1
5.662501305338E2,5.056173376866E1
5.719121471187E2,4.983839218386E1
5.722131901585E2,4.979728144953E1
5.758963340810E2,4.942073108120E1
5.759313991414E2,4.941963734123E1
5.826675244677E2,4.840802334886E1
5.862222402212E2,4.788623745647E1
5.954062986301E2,4.749764428483E1
6.007179383062E2,4.707163377898E1
6.036812703210E2,4.648355933990E1
6.067588461092E2,4.584189343883E1
6.116887691586E2,4.495470430436E1
6.158935915283E2,4.452496769509E1
6.252089941344E2,4.437853550408E1
6.303398386937E2,4.396981177420E1
6.330984428164E2,4.320405070638E1
6.348011336649E2,4.256108040878E1
6.370838000079E2,4.192222961708E1
6.417394733296E2,4.089849147988E1
6.454040269553E2,4.048028133711E1
6.554890605246E2,4.027688259364E1
6.623721929224E2,3.945437971528E1
6.646737584004E2,3.874124128597E1
6.670035774312E2,3.810317824746E1
6.722257029422E2,3.704852676511E1
6.760477551884E2,3.661765840680E1
6.853139367607E2,3.603440735843E1
6.954014297362E2,3.597882023721E1
7.000176212583E2,3.530744339192E1
7.016225880202E2,3.466319098801E1
7.027264681180E2,3.398396221816E1
7.036610573294E2,3.322664494028E1
7.045248022831E2,3.247147608022E1
7.054711128216E2,3.175673498703E1
7.073468689919E2,3.104646123880E1
7.115496639276E2,3.094862504669E1
7.116940014234E2,3.099041547128E1
7.137772944183E2,3.161380093378E1
7.137772944183E2,3.161380093378E1
7.159820318926E2,3.222756315534E1
7.159982727540E2,3.223341974502E1
7.215456591681E2,3.221066935054E1
7.238710379776E2,3.159130681569E1
7.268955859978E2,3.092799134245E1
7.352707331570E2,3.087724061203E1
7.354936294952E2,3.089083486587E1
7.399468112169E2,3.049468134756E1
7.416048637641E2,2.994941317495E1
7.427072081431E2,2.927104968321E1
7.436165200938E2,2.858355598415E1
7.445156871764E2,2.782731291517E1
7.455524093517E2,2.708600646526E1
7.473435308924E2,2.639466948545E1
7.530169005805E2,2.646245712062E1
7.531108336739E2,2.648383192471E1
7.558498056061E2,2.706347468652E1
7.558644604696E2,2.706712318304E1
7.605997562216E2,2.698432844709E1
7.608367604897E2,2.693358040690E1
7.627877361662E2,2.615047849844E1
7.641207933917E2,2.543958182273E1
7.652908945990E2,2.476328172147E1
7.669759582182E2,2.411191417940E1
7.718456596896E2,2.430352452645E1
7.724669017018E2,2.457194840561E1
7.733379525850E2,2.498444462505E1
7.738234651389E2,2.521907045088E1
7.746154270894E2,2.565804956252E1
7.759981845181E2,2.632362505969E1
7.804183210456E2,2.640113997426E1
7.818108604897E2,2.559546488066E1
7.826762593375E2,2.477154665068E1
7.833088404616E2,2.404343762446E1
7.838265443123E2,2.335860387125E1
7.844911324434E2,2.257156681367E1
7.851860452476E2,2.177736836340E1
7.860625828588E2,2.108987466433E1
7.872158827811E2,2.039566971725E1
7.913713506932E2,2.007709004778E1
7.924995299928E2,2.040716886781E1
7.933631581427E2,2.072914508354E1
7.943774611732E2,2.111924567491E1
7.953419883559E2,2.145148965367E1
7.963608436040E2,2.179824845123E1
8.016126572710E2,2.162129547173E1
8.033950241753E2,2.092088625777E1
8.049589495184E2,2.027272565555E1
8.070828701986E2,1.963704406430E1
8.162142483529E2,1.931799029139E1
8.234327703743E2,2.027032116370E1
8.259202385675E2,2.082773846139E1
8.307231938019E2,2.044949269866E1
8.320930836697E2,1.973338412049E1
8.330307185566E2,1.899659957853E1
8.337239774667E2,1.827115049816E1
8.343869117038E2,1.755286281050E1
8.351924057039E2,1.679406210127E1
8.362323893248E2,1.608187864833E1
8.381747206983E2,1.531407194526E1
8.456049107396E2,1.467656002636E1
8.556294034587E2,1.523492023459E1
8.618082980697E2,1.440853171617E1
8.631583362770E2,1.374440007151E1
8.644123792231E2,1.292719649974E1
8.654317987348E2,1.223302792799E1
8.673045877358E2,1.147882528757E1
8.728658466621E2,1.179172699569E1
8.733121026250E2,1.195099636931E1
8.748775733332E2,1.249677528814E1
8.751299154610E2,1.258637902469E1
8.770344033447E2,1.315730227771E1
8.864241272067E2,1.355302037711E1
8.908354765846E2,1.270212787799E1
8.924373347455E2,1.204464828876E1
8.935225689595E2,1.134596099189E1
8.944585499523E2,1.067792581984E1
8.955959777784E2,9.923558353719E0
8.976335333338E2,9.201033508703E0
9.028417511121E2,8.738788603547E0
9.028417511121E2,8.738788603547E0
9.066794537168E2,9.081174380859E0
9.066833875345E2,9.080410498971E0
9.112063407318E2,9.661846962642E0
9.131635199580E2,1.006713342673E1
9.163280101027E2,1.071976296829E1
9.218283919033E2,1.029683742267E1
9.235804360488E2,9.530850312708E0
9.248284635568E2,8.867423440026E0
9.262564366734E2,8.155862914577E0
9.281852295188E2,7.484319796836E0
9.327553156969E2,6.255029228065E0
9.361971925031E2,5.795329200181E0
9.436569467246E2,6.250909722170E0
9.466047319793E2,6.923324548663E0
9.536901593282E2,6.954504739715E0
9.572206423503E2,6.540993869081E0
9.623513841039E2,5.428460662759E0
9.645407373582E2,4.758523226400E0
9.673878107376E2,4.137766886911E0
9.755909280750E2,3.618613320680E0
9.823059313315E2,3.987658639649E0
9.825178344105E2,4.007388617553E0
9.860583820064E2,4.411093882208E0
9.860710345239E2,4.414787030178E0
9.930159200951E2,4.414946886217E0
9.970529171604E2,4.070436154796E0
1.001264075501E3,3.427817427479E0
1.001607684662E3,3.366283382222E0
1.004001135852E3,2.857000682114E0
1.004309285890E3,2.789856373555E0
1.006970443706E3,2.346370323344E0
1.015996637039E3,1.731757192150E0
1.025843483157E3,1.823903534036E0
1.035914125831E3,1.696061710770E0
1.046087072734E3,1.070194555028E0
1.055990166744E3,5.945836081219E-1
1.066232147953E3,5.432215462430E-1
1.075998686147E3,5.433057828148E-1
1.075998719559E3,5.419169066551E-1
1.082262784840E3,4.758739851580E-1
1.085957590845E3,4.739093228793E-1
1.095841595304E3,2.588325332858E-1
1.101484419250E3,2.611686116800E-1
