#' @name Skye_SKE510.spct
#'
#' @title Skye PAR energy sensor SKE510
#'
#' @note
#' Spectral data digitized from figure in manufacturer's manual.
#' This is typical measured data, and for specific sensor units the
#' calibration data supplied with the sensor must be used as individual
#' may differ in their spectral response. Furthermore, the digigitizing
#' process from figures with a linear scale is prone to errors, which
#' are specially noticeable in regions of low responsivity.
#'
#' Manufacturer: Skye Instruments, Llandrindod Wells, Powys, UK
#' \url{http://www.skyeinstruments.com/}
#'
#' @references
#' Manufacturer's brochure dated 2007-10-02
#'
w.length,s.e.response
7.355811304807E2,4.012967851280E-1
7.352252564709E2,4.016939659425E-1
7.348693824612E2,4.020911467569E-1
7.345135084514E2,4.024883275714E-1
7.341576344416E2,4.028855083859E-1
7.338017604319E2,4.032826892004E-1
7.334458864221E2,4.749490024113E-1
7.330900124123E2,4.991025606913E-1
7.326511011336E2,5.048716120214E-1
7.319393531141E2,5.827422205384E-1
7.313106423635E2,6.673831070220E-1
7.308717310848E2,6.969085358177E-1
7.301599830653E2,7.953680048048E-1
7.294482350457E2,8.885482787995E-1
7.286401044819E2,9.918665930836E-1
7.281586154199E2,1.074759411149E0
7.276688649969E2,1.178250309954E0
7.269571169774E2,1.271430583949E0
7.261489864135E2,1.374748898233E0
7.256674973515E2,1.457641716298E0
7.251777469286E2,1.561132615103E0
7.244659989090E2,1.654312889098E0
7.236578683452E2,1.757631203382E0
7.231763792832E2,1.840524021448E0
7.226866288602E2,1.944014920252E0
7.219748808407E2,2.037195194247E0
7.211667502768E2,2.140513508531E0
7.203971727307E2,2.287078193831E0
7.198238201594E2,2.525281870909E0
7.195312126403E2,2.718826978520E0
7.192275334853E2,3.175288353486E0
7.187994467077E2,3.615259112019E0
7.186178026819E2,3.888660180579E0
7.184415603151E2,4.106510547476E0
7.182429487249E2,4.455430583148E0
7.177785331422E2,4.894491632124E0
7.176292637659E2,5.164161131768E0
7.174671433836E2,5.343834699434E0
7.172180315768E2,5.614935429111E0
7.168310185912E2,6.076241086077E0
7.163550371031E2,6.606539532897E0
7.162057677268E2,6.876209032542E0
7.160436473446E2,7.055882600207E0
7.157633965619E2,7.407789766588E0
7.152874150738E2,7.938088213408E0
7.151381456975E2,8.207757713052E0
7.149760253153E2,8.387431280718E0
7.146957745326E2,8.739338447099E0
7.142197930445E2,9.269636893919E0
7.140705236682E2,9.539306393563E0
7.139084032860E2,9.718979961229E0
7.136592914792E2,9.990080690906E0
7.132722784935E2,1.045138634787E1
7.127962970055E2,1.098168479469E1
7.126470276292E2,1.125135429434E1
7.124849072469E2,1.143102786200E1
7.122046564642E2,1.178293502838E1
7.117286749762E2,1.231323347520E1
7.115794055999E2,1.258290297485E1
7.114172852176E2,1.276257654251E1
7.111370344349E2,1.311448370889E1
7.106699497971E2,1.365902605267E1
7.106462248631E2,1.386573301534E1
7.105216689597E2,1.409710076929E1
7.103971130563E2,1.430312838728E1
7.103140757874E2,1.454606403245E1
7.101855657283E2,1.488407593836E1
7.101361387825E2,1.525367475183E1
7.100916545313E2,1.544377541915E1
7.099582017776E2,1.568676733161E1
7.098296917185E2,1.602477923752E1
7.097802647727E2,1.639437805099E1
7.097357805215E2,1.658447871831E1
7.096023277678E2,1.682747063077E1
7.094738177088E2,1.716548253668E1
7.094243907630E2,1.753508135014E1
7.093799065117E2,1.772518201747E1
7.092464537581E2,1.796817392992E1
7.091179436990E2,1.830618583584E1
