#' @name Skye_SKP210.spct
#'
#' @title Skye PAR 'Special' Sensor SKP210
#'
#' @note
#' Spectral data digitized from figure in manufacturer's manual.
#' This is typical measured data, and for specific sensor units the
#' calibration data supplied with the sensor must be used as individual
#' may differ in their spectral response. Furthermore, the digigitizing
#' process from figures with a linear scale is prone to errors, which
#' are specially noticeable in regions of low responsivity.
#'
#' Manufacturer: Skye Instruments, Llandrindod Wells, Powys, UK
#' \url{http://www.skyeinstruments.com/}
#'
#' @references
#' Manufacturer's brochure dated 2007-10-03
#'
#' KJ McCree. The action spectrum, absorbance and quantum yield of
#' photosynthesis in crop plants. Agricultural Meteorology. 1971/72
#' Vol 9, pp 191-216
#'
w.length,s.q.response
7.492494068691E2,1.725895080556E0
7.489213848097E2,1.759529391947E0
7.484182400686E2,1.840011494205E0
7.480120601365E2,1.906078891581E0
7.475599486597E2,1.918091145649E0
7.469845375893E2,1.918091145649E0
7.465399184441E2,1.930103399717E0
7.461262461804E2,1.996170797093E0
7.456231014392E2,2.076652899351E0
7.450433370366E2,2.110287210742E0
7.444679259661E2,2.110287210742E0
7.440233068210E2,2.122299464811E0
7.436096345572E2,2.188366862186E0
7.431064898161E2,2.268848964444E0
7.425267254134E2,2.302483275835E0
7.419513143429E2,2.302483275835E0
7.415066951978E2,2.314495529904E0
7.410930229340E2,2.380562927280E0
7.405513462015E2,2.461045029537E0
7.398059957124E2,2.518703849065E0
7.387969108003E2,2.828734406448E0
7.384933614360E2,2.929408535783E0
7.377196386636E2,3.213126536635E0
7.374160892992E2,3.313800665969E0
7.366552878392E2,3.615823053973E0
7.363781883465E2,3.727937425277E0
7.357485514150E2,3.957028270723E0
7.354375664974E2,4.071144684372E0
7.346712792782E2,4.341420400910E0
7.343602943606E2,4.455536814559E0
7.337816984653E2,4.672901411986E0
7.331650306850E2,4.906282348171E0
7.328520720538E2,5.009244525899E0
7.319744578709E2,5.327283252661E0
7.315576078293E2,5.464566156299E0
7.309858083478E2,5.724116645989E0
7.307876280818E2,5.874241221238E0
7.305880387452E2,6.058200312113E0
7.303327722758E2,6.389509719560E0
7.301989939278E2,6.603823585795E0
7.300210186029E2,6.889242369286E0
7.298158869221E2,7.220643298669E0
7.296638221145E2,7.465830564566E0
7.294586904337E2,7.797231493948E0
7.293066256260E2,8.042418759846E0
7.291014939452E2,8.373819689228E0
7.289494291376E2,8.619006955126E0
7.287442974568E2,8.950407884508E0
7.285922326491E2,9.195595150406E0
7.283871009683E2,9.526996079788E0
7.282350361607E2,9.772183345685E0
7.280299044799E2,1.010358427507E1
7.278778396722E2,1.034877154097E1
7.276727079914E2,1.068017247035E1
7.275206431838E2,1.092535973625E1
7.273155115030E2,1.125676066563E1
7.271634466953E2,1.150194793152E1
7.269583150145E2,1.183334886091E1
7.268062502069E2,1.207853612680E1
7.266011185261E2,1.240993705619E1
7.264490537184E2,1.265512432208E1
7.262439220376E2,1.298652525147E1
7.260918572299E2,1.323171251736E1
7.258867255492E2,1.356311344675E1
7.257346607415E2,1.380830071264E1
7.255295290607E2,1.413970164203E1
7.253774642530E2,1.438488890792E1
7.251723325723E2,1.471628983731E1
7.250202677646E2,1.496147710320E1
7.248151360838E2,1.529287803259E1
7.246630712761E2,1.553806529848E1
7.244579395954E2,1.586946622787E1
7.243058747877E2,1.611465349376E1
7.241007431069E2,1.644605442315E1
7.239486782992E2,1.669124168904E1
7.237435466185E2,1.702264261843E1
7.235914818108E2,1.726782988432E1
7.233863501300E2,1.759923081371E1
7.232342853223E2,1.784441807960E1
7.230291536415E2,1.817581900899E1
7.228770888339E2,1.842100627488E1
7.226719571531E2,1.875240720426E1
7.225198923454E2,1.899759447016E1
7.223147606646E2,1.932899539954E1
7.221626958570E2,1.957418266544E1
7.219575641762E2,1.990558359482E1
7.218054993685E2,2.015077086072E1
7.216003676877E2,2.048217179010E1
7.214483028801E2,2.072735905600E1
7.212431711993E2,2.105875998538E1
7.210911063916E2,2.130394725128E1
7.208859747108E2,2.163534818066E1
7.207339099032E2,2.188053544656E1
7.205287782224E2,2.221193637594E1
7.203767134147E2,2.245712364184E1
7.201715817339E2,2.278852457122E1
7.198954662390E2,2.325185437100E1
7.198513240593E2,2.344405043610E1
7.198426467102E2,2.375476740800E1
7.197954662020E2,2.395405642311E1
7.196729166871E2,2.428433620878E1
7.195415169913E2,2.459722682665E1
7.194973748116E2,2.478942289175E1
7.194981866218E2,2.498161895684E1
7.194895092728E2,2.529233592874E1
7.194333379666E2,2.549162494386E1
7.191875677437E2,2.594259928231E1
7.191434255640E2,2.613479534740E1
7.191442373742E2,2.632699141249E1
7.191355600252E2,2.663770838440E1
7.190883795169E2,2.683699739951E1
7.189658300020E2,2.716727718518E1
7.188344303062E2,2.748016780305E1
7.187902881265E2,2.767236386815E1
7.187910999367E2,2.786455993324E1
7.187824225877E2,2.817527690514E1
7.187262512815E2,2.837456592026E1
7.184804810586E2,2.882554025871E1
7.184363388789E2,2.901773632380E1
7.184371506891E2,2.920993238889E1
7.184284733401E2,2.952064936079E1
