#' @name Skye_SKP215.spct
#'
#' @title Skye PAR quantum Sensor SKP215
#'
#' @note
#' Spectral data digitized from figure in manufacturer's manual.
#' This is typical measured data, and for specific sensor units the
#' calibration data supplied with the sensor must be used as individual
#' may differ in their spectral response. Furthermore, the digigitizing
#' process from figures with a linear scale is prone to errors, which
#' are specially noticeable in regions of low responsivity.
#'
#' Manufacturer: Skye Instruments, Llandrindod Wells, Powys, UK
#' \url{http://www.skyeinstruments.com/}
#'
#' @references
#' Manufacturer's brochure dated 2007-10-03
#'
#' KJ McCree. The action spectrum, absorbance and quantum yield of
#' photosynthesis in crop plants. Agricultural Meteorology. 1971/72
#' Vol 9, pp 191-216
#'
w.length,s.q.response
6.906113335395E2,7.866764352906E1
6.902259471846E2,7.887522114819E1
6.900387595265E2,7.904122002772E1
6.895687258115E2,7.952361565945E1
6.892900088941E2,7.986321667196E1
6.889046225392E2,8.012016964300E1
6.887174348811E2,8.028616852253E1
6.882990154101E2,8.075249022635E1
6.879136290552E2,8.100944319739E1
6.877264413971E2,8.117544207692E1
6.872564076821E2,8.165783770865E1
6.869776907647E2,8.199743872116E1
6.865923044098E2,8.225439169220E1
6.864051167517E2,8.242039057174E1
6.859866972807E2,8.288671227555E1
6.856013109258E2,8.314366524659E1
6.854141232677E2,8.330966412612E1
6.849440895527E2,8.379205975785E1
6.846653726353E2,8.413166077036E1
6.842799862804E2,8.438861374141E1
6.840927986223E2,8.455461262094E1
6.836743791513E2,8.502093432475E1
6.832889927964E2,8.527788729580E1
6.831018051383E2,8.544388617533E1
6.826317714233E2,8.592628180705E1
6.823530545059E2,8.626588281957E1
6.819676681510E2,8.652283579061E1
6.817804804929E2,8.668883467014E1
6.813620610219E2,8.715515637396E1
6.809766746670E2,8.741210934500E1
6.807894870089E2,8.757810822453E1
6.803435399411E2,8.805431936595E1
6.800315605109E2,8.816804550386E1
6.795452396345E2,8.836086319723E1
6.793800740538E2,8.862757630088E1
6.790497428925E2,8.880549997443E1
6.785645689992E2,8.898350446359E1
6.780587494084E2,8.916151972817E1
6.777284182471E2,8.933944340171E1
6.773980870857E2,8.951736707525E1
6.770677559244E2,8.969529074880E1
6.765825820312E2,8.987329523796E1
6.760767624404E2,9.005131050254E1
6.757464312790E2,9.022923417608E1
6.754161001177E2,9.040715784963E1
6.750857689563E2,9.058508152317E1
6.746005950631E2,9.076308601233E1
6.740947754723E2,9.094110127691E1
6.737644443110E2,9.111902495045E1
6.734341131496E2,9.129694862400E1
6.731037819883E2,9.147487229754E1
6.726186080950E2,9.165287678670E1
6.721127885042E2,9.183089205128E1
6.717824573429E2,9.200881572482E1
6.714521261816E2,9.218673939837E1
6.709621349589E2,9.233808371176E1
6.702133843265E2,9.249104433760E1
6.692980917336E2,9.272111743411E1
6.688094768908E2,9.276877279013E1
6.684516181327E2,9.282524746519E1
6.679822726076E2,9.291140553865E1
6.675353424113E2,9.298866434974E1
6.670807438131E2,9.306592716312E1
6.664971587614E2,9.312548217052E1
6.661393000033E2,9.318195684558E1
6.656699544782E2,9.326811491903E1
6.652230242819E2,9.334537373012E1
6.647684256837E2,9.342263654351E1
6.641848406320E2,9.348219155090E1
6.638269818739E2,9.353866622596E1
6.633576363488E2,9.362482429942E1
6.629107061525E2,9.370208311051E1
6.624561075543E2,9.377934592389E1
6.618725225026E2,9.383890093129E1
6.615146637445E2,9.389537560635E1
6.611347829089E2,9.395778681742E1
6.605511978572E2,9.401437930370E1
6.602208666959E2,9.397011389364E1
6.598905355345E2,9.408286210266E1
6.592298732118E2,9.414838238050E1
6.588995420505E2,9.414855478716E1
6.585692108892E2,9.414872719382E1
