#' @name Specmeters-3415F.csv
#' @title Specmeters 3415F: quantum PAR Sensor
#' @note
#' Digitized with 'DigitizeIt' from manufacturers product Quantum Light Meters
#' PRODUCT MANUAL (R 06/14). This are approximate data, both because of the
#' digitizing process, and because they are either typical values or for a
#' specific sensor unit. Individual sensor units are expected to differ to some
#' degree in spectral response.
#'
#' Manufacturer: Spectrum Technologies, Inc., Aurora, IL, USA.
#'
#' @references Quantum Light Meters PRODUCT MANUAL (R 06/14).
#' \url{https://www.specmeters.com/}
#'
w.length,s.e.response
3.008457744744E2,2.022898203448E-2
3.014840193005E2,2.022898203448E-2
3.020062196128E2,2.022898203448E-2
3.025284199251E2,2.022898203448E-2
3.030506202374E2,2.022898203448E-2
3.035728205497E2,2.022898203448E-2
3.040950208620E2,2.022898203448E-2
3.047215238156E2,2.027272776240E-2
3.055703060001E2,2.047079869713E-2
3.059624659285E2,2.081428367187E-2
3.063058261215E2,2.128714258639E-2
3.065937426761E2,2.160869393923E-2
3.069754290146E2,2.186154829711E-2
3.075982127815E2,2.197881115110E-2
3.082671265149E2,2.197881115110E-2
3.087893268272E2,2.197881115110E-2
3.094158297808E2,2.202255687902E-2
3.100136346207E2,2.209859112040E-2
3.106322509641E2,2.250648276509E-2
3.109682862309E2,2.281402059797E-2
3.114986851033E2,2.318153187423E-2
3.129046039330E2,2.371145444604E-2
3.134363847342E2,2.376205714321E-2
3.140614549225E2,2.383312225181E-2
3.151403918839E2,2.456384971460E-2
3.156707907563E2,2.493136099086E-2
3.170767095859E2,2.546128356266E-2
3.176084903871E2,2.551188625984E-2
3.182335605754E2,2.558295136843E-2
3.193124975368E2,2.631367883122E-2
3.198428964092E2,2.668119010748E-2
3.212488152388E2,2.721111267928E-2
3.217805960400E2,2.726171537646E-2
3.225356359475E2,2.736910506269E-2
3.232903628402E2,2.786029807974E-2
3.253311554433E2,2.923695650775E-2
3.259985755398E2,2.941558489674E-2
3.267467627518E2,2.984088269416E-2
3.272121713186E2,2.985987992435E-2
3.290353715796E2,3.069003430124E-2
3.294645623231E2,3.093731128923E-2
3.301706811927E2,3.116541401336E-2
3.309760426612E2,3.148135538164E-2
3.326348916247E2,3.254244967483E-2
3.334686535520E2,3.289337026602E-2
3.343332872280E2,3.330725345847E-2
3.347624557224E2,3.342358469048E-2
3.353247702819E2,3.369861570210E-2
3.356997487876E2,3.394180954507E-2
3.363338893025E2,3.446335583455E-2
3.370349813943E2,3.477443656639E-2
3.376381218852E2,3.505542238368E-2
3.394628872892E2,3.593952165110E-2
3.398920780327E2,3.618679863909E-2
3.405981969024E2,3.641490136322E-2
3.416068342219E2,3.673143791147E-2
3.436360914932E2,3.781190035291E-2
3.447506341554E2,3.848891757065E-2
3.452279482360E2,3.866702123184E-2
3.457539190358E2,3.902713994623E-2
3.462886915774E2,3.965937618362E-2
3.468536069591E2,3.991455959646E-2
3.474328370423E2,4.023050096474E-2
3.479971430267E2,4.026738972340E-2
3.498915015499E2,4.131155858615E-2
3.513559214206E2,4.212614917441E-2
3.523826745539E2,4.269095512817E-2
3.530168150688E2,4.321250141765E-2
3.537179071606E2,4.352358214949E-2
3.543210476515E2,4.380456796679E-2
3.563330415809E2,4.492904385440E-2
3.576113314773E2,4.562580740766E-2
3.584623145812E2,4.606326468681E-2
3.592901944385E2,4.696183144920E-2
3.597768299884E2,4.726149836513E-2
3.603062962614E2,4.742221762345E-2
3.610985469175E2,4.776691775730E-2
3.619466938746E2,4.816500388133E-2
3.624023216633E2,4.831087505263E-2
3.635168643255E2,4.898789227037E-2
3.639858995635E2,4.915679938649E-2
3.644693244850E2,4.946814050957E-2
3.648378192580E2,5.000524083564E-2
3.658703607658E2,5.081193288970E-2
3.665060812966E2,5.088987666682E-2
3.670510673170E2,5.119250651941E-2
3.673874655546E2,5.172590613365E-2
3.675391595830E2,5.203143185243E-2
3.681889518928E2,5.251809275695E-2
3.687572908791E2,5.276013642734E-2
3.689399650614E2,5.282315930097E-2
3.694196255233E2,5.299356351496E-2
3.713536561072E2,5.418101359700E-2
3.718412438529E2,5.434797645854E-2
3.724134693301E2,5.445298356496E-2
3.731304455848E2,5.479716554655E-2
3.737245412109E2,5.550505096191E-2
3.742411728770E2,5.593643244552E-2
3.747971317999E2,5.612376947479E-2
3.752465349929E2,5.631394187531E-2
3.757240314466E2,5.699969666569E-2
3.759784370940E2,5.739918022269E-2
3.763108248728E2,5.764555373200E-2
3.767641174838E2,5.784544740539E-2
3.773298393967E2,5.806377099193E-2
3.778073358503E2,5.874952578231E-2
3.780617414977E2,5.914900933932E-2
3.783941292766E2,5.939538284862E-2
3.788474218875E2,5.959527652201E-2
3.794131438004E2,5.981360010855E-2
3.798906402541E2,6.049935489893E-2
3.801450459015E2,6.089883845594E-2
3.804774336803E2,6.114521196524E-2
3.809307262913E2,6.134510563863E-2
3.814964482042E2,6.156342922517E-2
3.819739446579E2,6.224918401555E-2
3.822493661958E2,6.265413578855E-2
3.828937150015E2,6.304292594539E-2
3.836997511412E2,6.323282273990E-2
3.841734468209E2,6.336931598249E-2
3.846167640704E2,6.353857829896E-2
3.866118760527E2,6.498797601768E-2
3.870216287046E2,6.539714065730E-2
3.876596261229E2,6.660608176552E-2
3.880487823024E2,6.723210964455E-2
3.884905159468E2,6.757644154837E-2
3.891304815364E2,6.821604922498E-2
3.896226042298E2,6.845617165373E-2
3.900871779651E2,6.873663127782E-2
3.906042362284E2,6.934085257430E-2
3.911111488484E2,6.991965889693E-2
3.915196895852E2,7.011036075963E-2
3.920138048893E2,7.038285151006E-2
3.923904666767E2,7.099832959865E-2
3.926448723241E2,7.139781315566E-2
3.932111566003E2,7.176144951896E-2
3.937919802701E2,7.197531752210E-2
3.941810095807E2,7.223801282761E-2
3.947747101691E2,7.304646984758E-2
3.956584939527E2,7.425495601014E-2
