#' @name ams-TSL257.csv
#' @title ams TSL257 light-to-voltage sensor
#' @details TSL257 high-sensitivity low-noise light-to-voltage optical
#' converter that combines a photodiode and a transimpedance amplifier.
#' @note
#' Digitized with 'DigitizeIt' from manufacturers' electronic component data
#' sheet. This are approximate data, both because of the digitizing process,
#' and because they are either typical values or for a specific sensor unit.
#' Individual sensor units are expected to differ to some
#' degree in spectral response.
#'
#' Manufacturer: ams-OSRAM AG, Austria.
#'
#' @references Data sheet for TSL257 ([v1-00] 2016-Jul-25)
#'
w.length,s.e.response
3.010118933181E2,1.596981238320E-2
3.010126408389E2,1.454204769035E-2
3.010133883596E2,1.311428299749E-2
3.010145843929E2,1.082985948892E-2
3.010153794832E2,9.311237042884E-3
3.010235053738E2,6.901509709872E-3
3.010301124382E2,1.835807332398E-2
3.011259921719E2,2.116168399359E-2
3.011445410695E2,4.099654228851E-3
3.011966328858E2,2.258944868644E-2
3.013274546234E2,2.485447399339E-2
3.014525116390E2,2.709667788667E-2
3.014751292155E2,7.900757813153E-4
3.015811878949E2,2.991797515187E-2
3.016307782318E2,3.134573984473E-2
3.016712066474E2,3.279180921313E-2
3.016978394712E2,3.436601131038E-2
3.017085826865E2,4.880840031888E-2
3.017093302073E2,4.738063562603E-2
3.017100777281E2,4.595287093317E-2
3.017107821227E2,3.586699470544E-2
3.017108252489E2,4.452510624032E-2
3.017115727696E2,4.309734154746E-2
3.017123202904E2,4.166957685461E-2
3.017130678112E2,4.024181216175E-2
3.017138153320E2,3.881404746889E-2
3.017145628528E2,3.738628277604E-2
3.017215157544E2,5.032768838949E-2
3.017436107437E2,5.182867178454E-2
3.017885482430E2,5.340287388179E-2
3.018381289963E2,5.484894325020E-2
3.018968716711E2,5.627670794305E-2
3.019773095621E2,5.797119790820E-2
3.020819109635E2,6.024028035536E-2
3.021821641487E2,6.260117673067E-2
3.022746161012E2,6.498973350458E-2
3.023296598487E2,6.698951930836E-2
3.023670799869E2,6.874287610635E-2
3.024003022099E2,7.093916599191E-2
3.024099617260E2,7.268971661226E-2
3.038300517405E2,5.536466053503E-2
3.039452470924E2,5.708110691007E-2
3.041078970246E2,5.889198846218E-2
3.043189304470E2,6.108519367093E-2
3.044378225891E2,6.276876620459E-2
3.045064802964E2,6.419653089744E-2
3.045452890837E2,6.582259624208E-2
3.045535948701E2,6.889625634476E-2
3.045543943021E2,6.736934132601E-2
3.045607888138E2,7.065031574646E-2
3.046379513004E2,7.305005408860E-2
3.047143338739E2,7.430430877701E-2
3.048304879753E2,7.562146809990E-2
3.050211167041E2,7.746411518824E-2
3.052167437739E2,7.902797746444E-2
3.053767502197E2,8.033572519464E-2
3.055237013849E2,8.173622354787E-2
3.057347348073E2,8.392942875662E-2
3.058536269494E2,8.561300129028E-2
3.059222846568E2,8.704076598313E-2
3.059610934440E2,8.866683132777E-2
