Line 7 x;Line 7 y
5,500000000000E2;2,735222277893E-6
6,917961110610E2;4,116509528147E-3
6,946849991897E2;1,347350352370E-2
6,962506464822E2;1,502819607788E-2
6,978607362679E2;1,756040952256E-2
6,993597847363E2;2,285243862547E-2
7,006923473034E2;2,848474453370E-2
7,020501045265E2;3,577715518323E-2
7,033278182588E2;4,393425386920E-2
7,044799348911E2;5,266790795658E-2
7,054012524507E2;6,048489372748E-2
7,062346678609E2;6,908927965115E-2
7,070809668102E2;7,868105083383E-2
7,077906622217E2;8,796503730125E-2
7,083454522767E2;9,718155932461E-2
7,089761322131E2;1,079054656876E-1
7,094285598640E2;1,163984977284E-1
7,099743032395E2;1,271298527041E-1
7,103761447312E2;1,360602968627E-1
7,108045780895E2;1,459766215758E-1
7,111214830203E2;1,549145143471E-1
7,116139823464E2;1,653455456406E-1
7,119308872773E2;1,742834384119E-1
7,122477922081E2;1,832213311832E-1
7,125646971389E2;1,921592239546E-1
7,129215086166E2;2,028848419954E-1
7,132391960287E2;2,136107045617E-1
7,135568834409E2;2,243365671279E-1
7,138346643062E2;2,332747044247E-1
7,140363511928E2;2,428784864626E-1
7,142944447352E2;2,532332910351E-1
7,145214698881E2;2,629805912460E-1
7,148299805334E2;2,726039267777E-1
7,151077613986E2;2,815420640745E-1
7,152498544155E2;2,907747881186E-1
7,154677028016E2;2,994195612950E-1
7,157853902137E2;3,101454238613E-1
7,158883591650E2;3,193783924308E-1
7,161062075511E2;3,280231656072E-1
7,164238949632E2;3,387490281735E-1
7,165273455132E2;3,484438871934E-1
7,167454947819E2;3,584147397143E-1
7,170232756472E2;3,673528770111E-1
7,170754888862E2;3,773950084948E-1
7,173839995314E2;3,870183440265E-1
7,174874500814E2;3,967132030465E-1
7,177055993501E2;4,066840555674E-1
7,178681621712E2;4,162880821307E-1
7,180271991688E2;4,263497671083E-1
7,183057625154E2;4,370758742000E-1
7,183487989875E2;4,460154786492E-1
7,186273623341E2;4,567415857408E-1
7,186703988062E2;4,656811901900E-1
7,189489621528E2;4,764072972817E-1
7,189919986249E2;4,853469017309E-1
7,192713444528E2;4,978609786175E-1
7,193143809249E2;5,068005830667E-1
7,196328508184E2;5,193144154279E-1
7,196367632249E2;5,282542644025E-1
7,199552331184E2;5,407680967637E-1
7,199591455249E2;5,497079457383E-1
7,202377088715E2;5,604340528299E-1
7,202807453436E2;5,693736572791E-1
7,205992152371E2;5,818874896403E-1
7,206031276436E2;5,908273386149E-1
7,209215975371E2;6,033411709761E-1
7,209255099436E2;6,122810199507E-1
7,212040732902E2;6,230071270424E-1
7,212471097623E2;6,319467314916E-1
7,214096725834E2;6,415507580549E-1
7,215687095810E2;6,516124430325E-1
7,217098473186E2;6,612166035026E-1
7,218910918810E2;6,730661243682E-1
7,220536547021E2;6,826701509316E-1
7,222126916997E2;6,927318359091E-1
7,223752545208E2;7,023358624724E-1
7,225342915184E2;7,123975474500E-1
7,226377420683E2;7,220924064699E-1
7,228558913371E2;7,320632589909E-1
7,229593418870E2;7,417581180108E-1
7,231774911558E2;7,517289705317E-1
7,232706949267E2;7,614238935940E-1
7,234990909745E2;7,713946820726E-1
7,235922947453E2;7,810896051349E-1
7,238206907932E2;7,910603936135E-1
7,239241413431E2;8,007552526334E-1
7,241422906119E2;8,107261051543E-1
7,243048534330E2;8,203301317177E-1
7,244638904305E2;8,303918166952E-1
7,247823603240E2;8,429056490564E-1
7,248858108739E2;8,526005080763E-1
7,251039601427E2;8,625713605972E-1
7,254224300361E2;8,750851929584E-1
7,255849928572E2;8,846892195218E-1
7,257832916309E2;8,954200853496E-1
7,260617172670E2;9,054767670656E-1
7,263394981323E2;9,144149043623E-1
7,264815911491E2;9,236476284064E-1
7,267992785613E2;9,343734909727E-1
7,271169659734E2;9,450993535389E-1
7,274346533856E2;9,558252161052E-1
7,278596310952E2;9,652243268821E-1
7,282714923067E2;9,762965530927E-1
7,287658670417E2;9,856773503913E-1
7,294811158815E2;9,947519601137E-1
7,316312079665E2;9,943579388551E-1
7,324189012858E2;9,831039588482E-1
7,329258587396E2;9,739968418791E-1
7,333217267472E2;9,638146189742E-1
7,336912139098E2;9,538027378259E-1
7,340002940275E2;9,448609326480E-1
7,343085916639E2;9,341311576752E-1
7,346176717816E2;9,251893524973E-1
7,349259694180E2;9,144595775245E-1
7,351507593448E2;9,036319858671E-1
7,354467981074E2;8,946902621977E-1
7,357555391498E2;8,849736701087E-1
7,360084028759E2;8,742256168615E-1
7,360725223288E2;8,642907817690E-1
7,363685610914E2;8,553490580996E-1
7,366218682235E2;8,456141877362E-1
7,366859876764E2;8,356793526437E-1
7,369820264389E2;8,267376289743E-1
7,371637088183E2;8,172378779431E-1
7,372861769244E2;8,065316140884E-1
7,375949440496E2;7,968746209925E-1
7,376456390575E2;7,875544861009E-1
7,378998770164E2;7,784565759016E-1
7,379508067687E2;7,696728319484E-1
7,382050447275E2;7,605749217491E-1
7,382976813858E2;7,517328079505E-1
7,385102124387E2;7,426932675966E-1
7,385611421910E2;7,339095236434E-1
7,388153801499E2;7,248116134441E-1
7,388245090985E2;7,158716829610E-1
7,391164007101E2;6,974537193785E-1
7,391205478610E2;7,069299592916E-1
7,394207859400E2;6,777840954310E-1
7,394251678353E2;6,877967262826E-1
7,397251711698E2;6,581144714836E-1
7,397295530652E2;6,681271023352E-1
7,400297911441E2;6,389812384747E-1
7,400339382950E2;6,484574783878E-1
7,403189465163E2;6,292107570608E-1
7,403341763739E2;6,193116145273E-1
7,406233317462E2;6,095411331134E-1
7,406385616038E2;5,996419905798E-1
7,408202439831E2;5,901422395486E-1
7,409429468336E2;5,799723666324E-1
7,410547845275E2;5,710147658893E-1
7,412465495822E2;5,585147728901E-1
7,413583872761E2;5,495571721470E-1
7,415509348120E2;5,388451489426E-1
7,416018645643E2;5,300614049895E-1
7,418519553723E2;5,114872548770E-1
7,418561025232E2;5,209634947901E-1
7,421565753465E2;4,923540218681E-1
7,421607224975E2;5,018302617812E-1
7,424457307188E2;4,825835404542E-1
7,424609605764E2;4,726843979207E-1
7,427501159486E2;4,629139165068E-1
7,427653458062E2;4,530147739733E-1
7,429470281856E2;4,435150229420E-1
7,430697310361E2;4,333451500258E-1
7,432514134154E2;4,238453989946E-1
7,433741162659E2;4,136755260784E-1
7,434667529242E2;4,048334122798E-1
7,436785014958E2;3,940059021310E-1
7,437711381540E2;3,851637883324E-1
7,439836692070E2;3,761242479785E-1
7,440345989593E2;3,673405040254E-1
7,442880544368E2;3,564546240311E-1
7,444697368162E2;3,469548729998E-1
7,445924396667E2;3,367850000836E-1
7,447786702186E2;3,153281399175E-1
7,448913475274E2;3,045995875718E-1
7,449008025099E2;3,262042225937E-1
7,464375305973E2;2,616785314772E-1
7,464419646580E2;2,420107822246E-1
7,465901144529E2;2,527377044010E-1
7,467380034206E2;2,330690585552E-1
7,470467444631E2;2,233524664662E-1
7,472996081891E2;2,126044132190E-1
7,474472353517E2;2,027673948110E-1
7,477555329881E2;1,920376198382E-1
7,480638306245E2;1,813078448654E-1
7,483721282609E2;1,705780698926E-1
7,486603487310E2;1,616512948765E-1
7,489895060150E2;1,509064897419E-1
7,493635624027E2;1,421825603718E-1
7,497054065965E2;1,330755884683E-1
7,500864235280E2;1,243988692115E-1
7,504081935053E2;1,155052316580E-1
7,508732781950E2;1,058646446646E-1
7,514363270608E2;9,614965596360E-2
7,520099417530E2;8,669061744274E-2
7,525389612208E2;7,844749122445E-2
7,533001362174E2;6,807141643458E-2
7,541531270122E2;5,889739362605E-2
7,550891702801E2;5,005809699308E-2
7,560052849600E2;4,250988520749E-2
7,572305300600E2;3,507468258656E-2
7,586403111120E2;2,842056554080E-2
7,601570362447E2;2,319615984288E-2
7,651067521890E2;9,457418196596E-3
7,666721060510E2;1,034162207767E-2
7,685500611967E2;1,032988485801E-2
7,701146325774E2;9,426118944169E-3
7,716795951988E2;9,416337927785E-3
7,793232239518E2;3,569465072579E-3
9,500000000000E2;2,735222277893E-6
