Line 4 x,Line 4 y
1.997754056037E2,-1.458130782383E-3
2.279853470546E2,-2.347135271823E-5
2.307872331814E2,2.112747205474E-2
2.348260923907E2,3.699846989828E-2
2.369524006155E2,6.325497782296E-2
2.375158255254E2,8.210470824303E-2
2.379392832413E2,9.781263171114E-2
2.382706148723E2,1.135201847487E-1
2.384637573760E2,1.292271821403E-1
2.386568998796E2,1.449341795320E-1
2.388500423833E2,1.606411769237E-1
2.390449629537E2,1.794894256214E-1
2.392381054574E2,1.951964230131E-1
2.394312479610E2,2.109034204047E-1
2.394401382949E2,2.266096769353E-1
2.396332807986E2,2.423166743269E-1
2.398264233022E2,2.580236717186E-1
2.398353136361E2,2.737299282491E-1
2.400284561398E2,2.894369256407E-1
2.402215986434E2,3.051439230324E-1
2.402304889773E2,3.208501795629E-1
2.404236314809E2,3.365571769546E-1
2.406167739846E2,3.522641743462E-1
2.408099164883E2,3.679711717379E-1
2.410030589919E2,3.836781691296E-1
2.410119493258E2,3.993844256601E-1
2.412050918295E2,4.150914230517E-1
2.413982343331E2,4.307984204434E-1
2.414071246670E2,4.465046769739E-1
2.416002671707E2,4.622116743656E-1
2.416091575045E2,4.779179308961E-1
2.418023000082E2,4.936249282877E-1
2.418111903421E2,5.093311848182E-1
2.420043328457E2,5.250381822099E-1
2.420132231796E2,5.407444387404E-1
2.422072547167E2,5.580220617851E-1
2.422161450506E2,5.737283183156E-1
2.424092875542E2,5.894353157073E-1
2.426024300579E2,6.051423130989E-1
2.426113203917E2,6.208485696295E-1
2.428044628954E2,6.365555670211E-1
2.429976053991E2,6.522625644128E-1
2.430064957329E2,6.679688209433E-1
2.431996382366E2,6.836758183349E-1
2.433927807403E2,6.993828157266E-1
2.434016710741E2,7.150890722571E-1
2.435948135778E2,7.307960696488E-1
2.437897341482E2,7.496443183465E-1
2.439828766519E2,7.653513157382E-1
2.441760191555E2,7.810583131299E-1
2.443691616592E2,7.967653105215E-1
2.445623041629E2,8.124723079132E-1
2.447554466665E2,8.281793053049E-1
2.449485891702E2,8.438863026965E-1
2.453259838436E2,8.595940409493E-1
2.455191263472E2,8.753010383410E-1
2.459974355710E2,8.929724599599E-1
2.463748302445E2,9.086801982127E-1
2.471216182908E2,9.259600438409E-1
2.479535220234E2,9.444181982703E-1
2.484691058241E2,9.601264921689E-1
2.491888042823E2,9.783747791540E-1
2.511785923522E2,9.962770783463E-1
2.527066649490E2,9.868441063390E-1
2.534347832942E2,9.711408132531E-1
2.539730490223E2,9.557148877802E-1
2.545378699925E2,9.397328070975E-1
2.550019498665E2,9.241279250686E-1
2.555438223845E2,9.087768991153E-1
2.566211808270E2,8.931427901138E-1
2.592753812769E2,8.785901496585E-1
2.624797298756E2,8.861700668505E-1
2.645189482922E2,8.698966182633E-1
2.652800648711E2,8.534912589062E-1
2.660081832163E2,8.377879658203E-1
2.667363015615E2,8.220846727344E-1
2.676422538905E2,8.064103908307E-1
2.707510898750E2,7.947024355482E-1
2.718713584136E2,7.796985242144E-1
2.724950108905E2,7.638953383492E-1
2.729006879386E2,7.481907487563E-1
2.732603019443E2,7.324859739481E-1
2.736199159499E2,7.167811991399E-1
2.739786409222E2,6.995057986787E-1
2.743450430682E2,6.822304290867E-1
2.749272951123E2,6.665265494857E-1
2.756151196067E2,6.501649289396E-1
2.766687384764E2,6.328923225833E-1
2.773793089959E2,6.171889589392E-1
2.779761795537E2,6.005726814820E-1
2.783357935593E2,5.848679066738E-1
2.786945185316E2,5.675925062125E-1
2.790541325372E2,5.518877314043E-1
2.794137465429E2,5.361829565961E-1
2.795891083788E2,5.204774409268E-1
2.797644702147E2,5.047719252574E-1
2.799398320505E2,4.890664095881E-1
2.801151938864E2,4.733608939187E-1
2.818214415829E2,3.573969468764E-1
2.818830367795E2,3.414357476741E-1
2.818857038797E2,3.461476246332E-1
2.818945942135E2,3.618538811637E-1
2.819017064807E2,3.744188863881E-1
2.819034845474E2,3.775601376942E-1
2.820610657155E2,3.304421089639E-1
2.821044616578E2,3.257304172200E-1
2.822337604513E2,3.100247163354E-1
2.822364275514E2,3.147365932945E-1
2.824117893873E2,2.990310776252E-1
2.825464223811E2,2.927491306588E-1
2.825835950897E2,2.770430593436E-1
2.825871512232E2,2.833255619558E-1
2.827625130591E2,2.676200462865E-1
2.828050199680E2,2.613377288896E-1
2.829343187614E2,2.456320280049E-1
2.829378748950E2,2.519145306171E-1
2.831132367309E2,2.362090149478E-1
2.831557436398E2,2.299266975509E-1
2.832885985667E2,2.205034992784E-1
2.833434452591E2,2.143207042303E-1
2.836021495300E2,2.047985392550E-1
2.836446564388E2,1.985162218580E-1
2.838126565844E2,1.878890213079E-1
2.838200182747E2,1.828107061887E-1
2.839980472108E2,1.718170674785E-1
2.840537829365E2,1.672048980834E-1
2.843549941163E2,1.514004157112E-1
2.843567721831E2,1.545416670173E-1
2.845321340189E2,1.388361513479E-1
2.846685450795E2,1.356954556877E-1
2.848247301874E2,1.234092380602E-1
2.848899699578E2,1.199901252336E-1
2.850671098605E2,1.074258608704E-1
2.851825661262E2,1.045632119459E-1
2.854267238661E2,9.172108606218E-2
2.855421801319E2,8.885843713767E-2
2.857863378718E2,7.601631125399E-2
2.859017941376E2,7.315366232948E-2
2.862763106315E2,5.965389516410E-2
2.863744890229E2,5.717121121615E-2
2.868731811893E2,4.303761770687E-2
2.869306949817E2,4.156669961788E-2
2.877982511228E2,2.651988889518E-2
2.900386901418E2,1.222688764224E-2
2.943264421166E2,5.528199455037E-3
2.990112651719E2,3.231888597084E-3
3.026957529214E2,2.265064787069E-3
3.063803518001E2,1.494569183686E-3
3.100649506789E2,7.240735803028E-4
3.137499940743E2,7.388908034448E-4
3.174350374697E2,7.537080265868E-4
3.211200808651E2,7.685252497288E-4
3.248051242605E2,7.833424728708E-4
3.284900565267E2,6.018314893814E-4
4.998460795888E2,-1.572803821070E-3
