Line 10 x,Line 10 y
3.504293136728E2,-1.899797512685E-3
5.126246953394E2,2.250009296162E-3
5.318822869235E2,3.963207480199E-3
5.519978297687E2,-1.893036667429E-5
5.601277461708E2,3.695478008661E-3
5.634167380593E2,9.827218931648E-3
5.679604578947E2,1.481795031949E-2
5.694647864105E2,1.688432854130E-2
5.723768362866E2,2.283016862860E-2
5.734375043406E2,2.622631944939E-2
5.761352040989E2,3.487566386266E-2
5.770428709297E2,3.889410024343E-2
5.795385956691E2,5.095156365827E-2
5.801341398251E2,5.390327608557E-2
5.830167883692E2,6.971144767699E-2
5.832547816282E2,7.152135975275E-2
5.856617787632E2,8.808072019531E-2
5.861147908623E2,9.239290958938E-2
5.879266372952E2,1.102079715600E-1
5.883797526198E2,1.142307164859E-1
5.901913926016E2,1.326246673930E-1
5.920024177182E2,1.527427005673E-1
5.935864632941E2,1.720323082358E-1
5.938127905689E2,1.746896871930E-1
5.947158047695E2,1.917540988807E-1
5.951685460884E2,1.968255556479E-1
5.960715602889E2,2.138899673356E-1
5.965248750832E2,2.173533992793E-1
5.974280338992E2,2.340123090550E-1
5.978807752181E2,2.390837658222E-1
5.986972684477E2,2.544626746734E-1
5.987828095239E2,2.588958025343E-1
5.996864296136E2,2.742613010389E-1
6.001391051075E2,2.795173310902E-1
6.012693172680E2,2.967977205683E-1
6.014956445428E2,2.994550995256E-1
6.019441072371E2,3.165238197583E-1
6.023968485560E2,3.215952765255E-1
6.028460293411E2,3.366504700228E-1
6.029650888036E2,3.426899012838E-1
6.035659872245E2,3.571815490524E-1
6.037457971726E2,3.628177004937E-1
6.041953220430E2,3.769080790969E-1
6.046473452710E2,3.839930625996E-1
6.050948280705E2,4.038094078568E-1
6.050965260562E2,3.990482560969E-1
6.059112090984E2,4.195029302604E-1
6.061167895318E2,4.272278643579E-1
6.067184060436E2,4.397059853910E-1
6.068972360969E2,4.480897618567E-1
6.073477408620E2,4.594325154355E-1
6.077987019141E2,4.694958405677E-1
6.082496629661E2,4.795591657000E-1
6.086999059273E2,4.916360175677E-1
6.089696208495E2,5.000902447296E-1
6.094123717295E2,5.119322569539E-1
6.095989556679E2,5.198167747741E-1
6.100491986291E2,5.318936266418E-1
6.105001596811E2,5.419569517740E-1
6.109206497449E2,5.524903870476E-1
6.111746624139E2,5.624884616582E-1
6.115189869751E2,5.741636135060E-1
6.118494523830E2,5.822145608481E-1
6.122996953441E2,5.942914127158E-1
6.126641354252E2,6.026692350116E-1
6.131711464599E2,6.148881731216E-1
6.133692018996E2,6.224705542178E-1
6.141006671888E2,6.425988201867E-1
6.141024474557E2,6.376069518217E-1
6.148145691727E2,6.588680061020E-1
6.150018712020E2,6.647389971867E-1
6.159055735730E2,6.798737790862E-1
6.161309254410E2,6.852661985257E-1
6.168077101069E2,6.993991678949E-1
6.172602669164E2,7.049879891706E-1
6.181643432930E2,7.190740592287E-1
6.213361505649E2,7.472332737097E-1
6.258780751733E2,7.572578219362E-1
6.297838311320E2,7.454752676340E-1
6.322529491094E2,7.259249151948E-1
6.345328875492E2,7.057681051147E-1
6.368134408542E2,6.838872127674E-1
6.386383899518E2,6.649624032280E-1
6.400097290400E2,6.434019449584E-1
6.413812825581E2,6.212402252330E-1
6.429426065427E2,5.980279984391E-1
6.441086703861E2,5.785081748344E-1
6.452677488013E2,5.573328566118E-1
6.464118829481E2,5.355759965061E-1
6.473281668691E2,5.154321120612E-1
6.484718701614E2,4.948833679968E-1
6.494336092330E2,4.747390526974E-1
6.503044380034E2,4.545955991071E-1
6.507667448908E2,4.328452018190E-1
6.530910852813E2,3.943984981796E-1
6.539695736874E2,3.740200613277E-1
6.548296131427E2,3.522658940627E-1
6.557458970637E2,3.321220096178E-1
6.567191435412E2,3.115748812578E-1
6.580906970593E2,2.894131615324E-1
6.594615324865E2,2.692649685425E-1
6.608323679138E2,2.491167755525E-1
6.619757839697E2,2.293734421823E-1
6.633319623649E2,2.078382966150E-1
6.646990337993E2,1.876230219717E-1
6.660698692265E2,1.674748289818E-1
6.683693058275E2,1.457517630292E-1
6.711030776827E2,1.276041711395E-1
6.733071378563E2,1.077836669395E-1
6.759142464648E2,9.075589783205E-2
6.799986300151E2,7.818861484943E-2
6.833982291679E2,6.506851162280E-2
6.868262377900E2,5.194813911211E-2
6.918291767222E2,4.384663817433E-2
6.963129404600E2,3.373653839952E-2
7.011383045019E2,2.966376049389E-2
7.058115200535E2,2.559242475405E-2
7.111409509575E2,2.252162892793E-2
7.159046309956E2,2.146971559818E-2
7.211421612315E2,1.940655083291E-2
7.256880353395E2,1.835670201434E-2
7.411514057487E2,1.335402151977E-2
7.544175362804E2,1.512401080383E-2
7.668250394664E2,2.448507712434E-2
7.873678677308E2,2.239462377586E-2
8.002053606742E2,2.606441057261E-2
8.096111106853E2,2.662206230731E-2
8.143219886058E2,2.758416940049E-2
8.270490717356E2,2.847029350590E-2
8.315945867982E2,2.842720805507E-2
8.361404609063E2,2.737735923650E-2
8.406866940597E2,2.532074705021E-2
8.481397534320E2,1.802711775026E-2
8.699684944612E2,1.023727186373E-2
9.063458983642E2,7.996727750904E-3
9.294558195666E2,7.777676365099E-3
9.444317678596E2,1.521866263720E-2
9.585585539904E2,3.710351868191E-3
1.048859107366E3,9.586878551558E-4
