AS7343-F6 x,AS7343-F6 y
3.508795441570E2,2.447338567965E-3
5.569290284791E2,4.959739306449E-3
5.670967999051E2,6.128355984608E-3
5.759307968355E2,1.098299486176E-2
5.831230695667E2,1.971401860159E-2
5.858709997258E2,2.358900994513E-2
5.881004665074E2,2.934223279017E-2
5.902797340018E2,3.569251613977E-2
5.923117609931E2,4.359305226017E-2
5.941457450876E2,5.079277212443E-2
5.959591636423E2,5.844184006798E-2
5.974998326710E2,6.800203612571E-2
5.986484264663E2,7.694468320858E-2
5.996197030125E2,8.531604817090E-2
6.004322859252E2,9.372829623037E-2
6.014277987101E2,1.021181837110E-1
6.023586237767E2,1.105823262559E-1
6.031389892345E2,1.192234209708E-1
6.039372671936E2,1.275774384978E-1
6.046510161054E2,1.361125333960E-1
6.052091573114E2,1.444022678290E-1
6.058737826725E2,1.528953232476E-1
6.064608248613E2,1.628042874174E-1
6.070482938412E2,1.720375023409E-1
6.076366979310E2,1.807948902396E-1
6.082253220467E2,1.894403188382E-1
6.088144412204E2,1.978338390118E-1
6.094040554523E2,2.059754507605E-1
6.099920194904E2,2.149567572591E-1
6.102778330503E2,2.236038995205E-1
6.107635155251E2,2.323528721109E-1
6.111516106484E2,2.412323482805E-1
6.115397057717E2,2.501118244500E-1
6.120258833045E2,2.586088886155E-1
6.123116968645E2,2.672560308768E-1
6.125980054825E2,2.756512647132E-1
6.128843141006E2,2.840464985496E-1
6.132513962655E2,2.930710393315E-1
6.137564415049E2,3.025146420595E-1
6.140427501229E2,3.109098758959E-1
6.143290587410E2,3.193051097323E-1
6.146153673590E2,3.277003435687E-1
6.154849277952E2,3.474746789118E-1
6.157705029938E2,3.562431104149E-1
6.160568116119E2,3.646383442513E-1
6.163431202299E2,3.730335780877E-1
6.166294288480E2,3.814288119241E-1
6.169157374660E2,3.898240457605E-1
6.172020460841E2,3.982192795969E-1
6.174883547022E2,4.066145134333E-1
6.177746633202E2,4.150097472697E-1
6.180609719383E2,4.234049811061E-1
6.183456303626E2,4.326399096924E-1
6.186302887868E2,4.418748382788E-1
6.189149472111E2,4.511097668651E-1
6.192002657129E2,4.600088175514E-1
6.194859142535E2,4.687399292878E-1
6.197722228715E2,4.771351631242E-1
6.200585314896E2,4.855303969606E-1
6.203448401077E2,4.939256307970E-1
