AS7343-FY x,AS7343-FY y
3.508819538670E2,1.221166892809E-3
4.247166737104E2,5.707954267411E-3
4.311327980297E2,1.007809293061E-2
4.341586345702E2,1.121553658420E-2
4.372880379590E2,1.307774737901E-2
4.402600940626E2,1.524348524909E-2
4.432628370582E2,1.847127649194E-2
4.462961964687E2,2.243012051619E-2
4.491378641000E2,2.564199628621E-2
4.524253306764E2,2.798284124877E-2
4.554991023990E2,2.985873686473E-2
4.586842653439E2,3.521909640297E-2
4.618078373604E2,4.055301453292E-2
4.646985004397E2,4.535485057784E-2
4.673561645087E2,4.994558479214E-2
4.699798366490E2,5.438866676336E-2
4.727902525736E2,5.831168636171E-2
4.754064790985E2,6.491090268732E-2
4.775491093446E2,7.211107504016E-2
4.791878757624E2,7.898834589823E-2
4.807783731940E2,8.609188858245E-2
4.833160374399E2,9.140282399577E-2
4.859245941245E2,9.541592763203E-2
4.879231764521E2,1.024501026760E-1
4.894279554855E2,1.103704912734E-1
4.908061570446E2,1.189569719133E-1
4.919753518637E2,1.273909429433E-1
4.930549045723E2,1.358104268927E-1
4.942131619464E2,1.443069364129E-1
4.952567621634E2,1.525629351505E-1
4.963426541208E2,1.616546313666E-1
4.973417819842E2,1.701845292594E-1
4.983848517818E2,1.787104298809E-1
4.996331256705E2,1.881009281892E-1
5.007198640480E2,1.962957056449E-1
5.017153768329E2,2.046855931255E-1
5.025279597455E2,2.130978411849E-1
5.033567578992E2,2.213987891436E-1
5.041325570842E2,2.293826559406E-1
5.051618379413E2,2.385049112008E-1
5.062619973709E2,2.505950532740E-1
5.068483389149E2,2.589711956833E-1
5.074374580886E2,2.673647158569E-1
5.079226420674E2,2.755419054885E-1
5.085181090847E2,2.842822597833E-1
5.090049466951E2,2.924434460488E-1
5.096019547118E2,3.011028219582E-1
5.101894236918E2,3.103360368817E-1
5.107690038288E2,3.193033960696E-1
5.114540567223E2,3.275824160302E-1
5.122488975964E2,3.366765090791E-1
5.130442007456E2,3.464296026158E-1
5.139260199687E2,3.554949640175E-1
5.146185758415E2,3.635330317743E-1
5.153111317142E2,3.715710995312E-1
5.161108323106E2,3.801183699352E-1
5.169421088245E2,3.884193038683E-1
