Line 2 x;Line 2 y
3,000000000000E2;-2,257336343115E-3
3,571428571429E2;-2,096098032892E-3
3,689075630252E2;2,451770776031E-3
3,806722689076E2;4,742303241839E-3
3,857142857143E2;2,418574653337E-4
4,042016806723E2;2,940228009940E-4
4,203355036340E2;9,482254551215E-3
4,205451366608E2;9,693489369524E-3
4,218340981211E2;1,095881061439E-2
4,227080727396E2;1,203283965465E-2
4,247630614693E2;1,576150769289E-2
4,255845734345E2;1,760431631221E-2
4,264659822770E2;1,999127450705E-2
4,272084980577E2;2,211579493740E-2
4,280462081693E2;2,431729814209E-2
4,288839182809E2;2,651880134678E-2
4,296370112095E2;2,869733566602E-2
4,301345602454E2;3,009664218970E-2
4,306341400938E2;3,165915673146E-2
4,316407461026E2;3,481511979417E-2
4,322081043145E2;3,661865124416E-2
4,330316712684E2;3,910797532171E-2
4,335182805114E2;4,069485567601E-2
4,339478537437E2;4,204017576841E-2
4,351476045168E2;4,648297069530E-2
4,356694910664E2;4,846975722968E-2
4,362323162149E2;5,088268673964E-2
4,366302587384E2;5,241549522004E-2
4,370983126420E2;5,428198491715E-2
4,374508036500E2;5,579583161734E-2
4,378487461734E2;5,732864009774E-2
4,383168000770E2;5,919512979485E-2
4,386692910850E2;6,070897649503E-2
4,390672336084E2;6,224178497543E-2
4,395352875120E2;6,410827467255E-2
4,398877785200E2;6,562212137273E-2
4,402857210434E2;6,715492985313E-2
4,407622366653E2;6,899416727805E-2
4,411926963634E2;7,058421753637E-2
4,416100403980E2;7,206447676100E-2
4,424989611741E2;7,530296601366E-2
4,427988733567E2;7,665456357026E-2
4,438158290360E2;8,151750251525E-2
4,441989031116E2;8,286177137355E-2
4,447617282601E2;8,527470088351E-2
4,451596707835E2;8,680750936391E-2
4,456331401869E2;8,876129801659E-2
4,462429641365E2;9,184483384605E-2
4,465373703935E2;9,340189281084E-2
4,474658516650E2;9,764264755170E-2
4,479075533602E2;9,939638642149E-2
4,492174273529E2;1,046098267941E-1
4,497454385747E2;1,072170980426E-1
4,500382140279E2;1,086626508174E-1
