Line 3 x,Line 3 y
5.800000000000E2,0.000000000000E0
7.654108221226E2,1.257142857143E-3
7.714719255402E2,4.819039326624E-3
7.721301967112E2,6.555892024918E-3
7.730431994969E2,7.752372812942E-3
7.738797151492E2,1.262338259080E-2
7.743266594542E2,1.778157968521E-2
7.745711807093E2,2.313980218689E-2
7.751141507426E2,2.905675487643E-2
7.752735689649E2,3.360481860570E-2
7.754536037415E2,3.896862840925E-2
7.754814444339E2,4.907047020594E-2
7.754819546482E2,4.638856530417E-2
7.754824648624E2,4.370666040239E-2
7.754993727967E2,5.260909472912E-2
7.757033876443E2,5.577523246039E-2
7.760155271723E2,5.770285160854E-2
7.761470189579E2,7.052570942016E-2
7.761475291722E2,6.784380451838E-2
7.761480393864E2,6.516189961661E-2
7.761485496007E2,6.247999471483E-2
7.761587907351E2,7.383339213235E-2
7.763388255117E2,7.919720193591E-2
7.763630947041E2,1.080723780450E-1
7.763636049184E2,1.053904731433E-1
7.763641151326E2,1.027085682415E-1
7.763646253469E2,1.000266633397E-1
7.763651355612E2,9.734475843793E-2
7.763656457755E2,9.466285353615E-2
7.763661559897E2,9.198094863438E-2
7.763666662040E2,8.929904373260E-2
7.763671764183E2,8.661713883082E-2
7.763676866326E2,8.393523392905E-2
7.763810230669E2,1.116110025682E-1
7.765848961883E2,1.155221138833E-1
7.768868580044E2,1.187999976521E-1
7.770205057997E2,1.724380956877E-1
7.770210160139E2,1.697561907859E-1
7.770215262282E2,1.670742858841E-1
7.770220364425E2,1.643923809824E-1
7.770225466568E2,1.617104760806E-1
7.770230568710E2,1.590285711788E-1
7.770235670853E2,1.563466662770E-1
7.770240772996E2,1.536647613752E-1
7.770245875139E2,1.509828564735E-1
7.770250977281E2,1.483009515717E-1
7.770256079424E2,1.456190466699E-1
7.770261181567E2,1.429371417681E-1
7.770266283710E2,1.402552368664E-1
7.770271385853E2,1.375733319646E-1
7.770276487995E2,1.348914270628E-1
7.770281590138E2,1.322095221610E-1
7.770286692281E2,1.295276172593E-1
7.770291794424E2,1.268457123575E-1
7.770296896566E2,1.241638074557E-1
7.770304817036E2,1.758734881571E-1
7.771071564621E2,1.784762130094E-1
7.774350208852E2,1.837914931052E-1
7.774613309348E2,2.019390496072E-1
7.774618411490E2,1.992571447055E-1
7.774623513633E2,1.965752398037E-1
7.774628615776E2,1.938933349019E-1
7.774633717919E2,1.912114300001E-1
