#' @name TOCON_E.data
#' @note
#' TOCON_E (TOCON_ERYCA).
#' Pre-amplified SiC UV-Index Photodetector.
#' Manufacturer: sglux GmbH, Max-Planck-Str. 3, D-12489 Berlin.
#' Digitized with 'enguage' from manufacturers brochures. This are approximate
#' data, both because of the digitizing process, and because they are
#' either typical values or for a particular sensor unit. Individual sensor units
#' are expected to differ to some degree in spectral response.
#'
#' @references 
#' sglux TOCON selection guide Ver 5.0 
#' \url{http://www.sglux.de/}
#'
w.length,s.e.response
2.042636438771E2,6.308484261291E-3
2.133388225607E2,8.374683105458E-3
2.215445326408E2,7.857506597300E-3
2.217895802544E2,8.339850079050E-3
2.220602973302E2,8.746081121614E-3
2.225010394291E2,9.179679571330E-3
2.228142709169E2,9.288385520977E-3
2.231123134648E2,9.314400620037E-3
2.233874594939E2,9.312946359841E-3
2.236626055230E2,9.311492099645E-3
2.239645018604E2,9.309896453042E-3
2.243076701022E2,9.308082667408E-3
2.247402296618E2,9.379838950270E-3
2.249940743338E2,9.474766468187E-3
2.254330103103E2,9.731114148479E-3
2.257343025817E2,9.939517261796E-3
2.260011206406E2,1.019130936367E-2
2.262913853219E2,1.054603834732E-2
2.266024151648E2,1.096015535786E-2
2.269437016142E2,1.141503978318E-2
2.273103723619E2,1.193176227298E-2
2.276222603902E2,1.242379206651E-2
2.279076213225E2,1.284831799923E-2
2.285864823988E2,1.379058176333E-2
2.289282018273E2,1.439648400335E-2
2.292187159522E2,1.517625897148E-2
2.294533212673E2,1.612218752542E-2
2.298245289597E2,1.800536582697E-2
2.301184284819E2,2.018550178474E-2
2.302685316374E2,2.158830614188E-2
2.304318593551E2,2.330349743864E-2
2.305903141163E2,2.505035145639E-2
2.309122524214E2,2.875900375154E-2
2.310681584056E2,3.060075705464E-2
2.312650982875E2,3.288771084756E-2
2.314071735373E2,3.455297556173E-2
2.315908101114E2,3.684391248519E-2
2.317180970113E2,3.843545528431E-2
2.319097471067E2,4.079893762615E-2
