#' @name Skye_SKU430a.spct
#'
#' @title Skye UV-B Sensor Sensor SKU430 V. 3
#'
#' @note
#' Spectral data digitized from figure in manufacturer's manual.
#' This is typical measured data, and for specific sensor units the
#' calibration data supplied with the sensor must be used as individual
#' may differ in their spectral response. Furthermore, the digigitizing
#' process from figures with a linear scale is prone to errors, which
#' are specially noticeable in regions of low responsivity.
#'
#' Manufacturer: Skye Instruments, Llandrindod Wells, Powys, UK
#' \url{http://www.skyeinstruments.com/}
#'
#' @references
#' Manufacturer's 'SKU 430 UVB Sensor' V. 3 brochure, not dated, dowloaded on 2015-01-24
#'
w.length,s.e.response
2.506806493525E2,3.612738393448E-1
2.508420415987E2,4.129717333153E-1
2.509721189314E2,4.269061613102E-1
2.510805167086E2,4.266983398636E-1
2.511889144859E2,4.264905184170E-1
2.512973122632E2,4.262826969704E-1
2.514057100404E2,4.260748755238E-1
2.515141078177E2,4.258670540772E-1
2.516803177428E2,4.529028924353E-1
2.517928449592E2,5.367769068143E-1
2.518935000381E2,6.378968849772E-1
2.519964779265E2,6.837968492283E-1
2.521644944813E2,7.082964000151E-1
2.522728922585E2,7.258183457321E-1
2.523812900358E2,7.787998257763E-1
2.524896878131E2,7.785920043296E-1
2.525980855903E2,7.783841828830E-1
2.527402071205E2,7.828396437856E-1
2.529015993667E2,8.345375377560E-1
2.530316766994E2,8.484719657510E-1
2.531400744767E2,8.482641443044E-1
2.532484722539E2,8.480563228578E-1
2.533568700312E2,8.478485014112E-1
2.535288611711E2,9.160738577485E-1
2.536603838075E2,9.891047386694E-1
2.537904611402E2,1.059774421588E0
2.538988589175E2,1.059566600141E0
2.540072566948E2,1.059358778695E0
2.541156544720E2,1.059150957248E0
2.542240522493E2,1.129862204456E0
2.543866489152E2,1.200469540940E0
2.544896268036E2,1.246369505191E0
2.546576433583E2,1.288598823142E0
2.547660411356E2,1.341580303186E0
2.548744389129E2,1.341372481739E0
2.550165604431E2,1.345827942642E0
2.551779526892E2,1.397525836612E0
2.553080300219E2,1.411460264607E0
2.554164277992E2,1.411252443161E0
2.555248255765E2,1.411044621714E0
2.556332233537E2,1.428566567431E0
2.557717316247E2,1.487400241683E0
2.559921404384E2,1.627633824240E0
2.561535326846E2,1.693515531941E0
2.563173337702E2,1.768848497209E0
2.564787260164E2,1.820546391179E0
2.566088033491E2,1.852210586338E0
2.567172011264E2,1.905192066382E0
2.568255989036E2,1.904984244935E0
2.569677204338E2,1.909439705838E0
2.571291126800E2,1.961137599808E0
2.572591900127E2,1.975072027803E0
2.574311811526E2,2.043297384141E0
2.575627037890E2,2.116328265062E0
2.577323011447E2,2.186922179744E0
2.579759703148E2,2.374390546385E0
2.581263722308E2,2.398923868157E0
2.582347700081E2,2.398716046710E0
2.583431677853E2,2.398508225264E0
2.584515655626E2,2.416030170981E0
2.585936870928E2,2.473674933374E0
2.587550793389E2,2.525372827344E0
2.589074384370E2,2.560540257083E0
2.589935544489E2,2.612973463741E0
2.590796704608E2,2.672892572091E0
2.592103500034E2,2.751440996963E0
2.593428361756E2,2.751186992972E0
2.595207289723E2,2.930034781687E0
2.596222615570E2,2.949224667698E0
2.597746206551E2,2.984392097436E0
2.599570902468E2,3.096724784863E0
2.601130626041E2,3.200440386919E0
2.603184161710E2,3.316669149188E0
2.605029934973E2,3.484748063501E0
2.607616426381E2,3.604223602912E0
2.609989133283E2,3.740878904255E0
2.611313995005E2,3.882463037573E0
2.613363014100E2,4.070005729245E0
2.614867033260E2,4.094539051017E0
2.616310078670E2,4.135040853193E0
2.618299629540E2,4.330277845284E0
2.619266176387E2,4.404557559915E0
2.622034836281E2,4.635695706907E0
2.624080844327E2,4.724425073536E0
2.626587542926E2,4.894563945778E0
2.628416755418E2,5.013889175441E0
2.629839476244E2,5.177616756056E0
2.632007431790E2,5.319039250472E0
2.633836644281E2,5.438364480135E0
2.635259365108E2,5.602092060749E0
2.637427320653E2,5.743514555165E0
2.639256533144E2,5.862839784828E0
2.640340510917E2,6.004470100690E0
2.641424488689E2,6.146100416552E0
2.642847209516E2,6.309827997167E0
2.644917305957E2,6.429107044286E0
2.646302388666E2,6.570679631969E0
2.647386366439E2,6.712309947831E0
2.648651007174E2,6.877545316337E0
2.649518189392E2,6.924658438282E0
2.650457636795E2,6.971757705465E0
2.651722277530E2,7.136993073971E0
2.653152525980E2,7.317956485012E0
2.654070896037E2,7.396579379236E0
2.655516199734E2,7.561780110834E0
2.656600177506E2,7.703410426696E0
2.657684155279E2,7.868680432110E0
2.658470039164E2,7.987910193796E0
2.659852110824E2,8.199220442937E0
2.660936088597E2,8.340850758799E0
2.661505176928E2,8.440028348656E0
2.662381392294E2,8.567514683231E0
2.663947137965E2,8.734268302861E0
2.665271999688E2,8.907372022248E0
2.665841088018E2,9.006549612104E0
2.666762469125E2,9.137573240885E0
2.668523933005E2,9.403182038488E0
2.669851805777E2,9.572246733629E0
2.671474761386E2,9.749331749083E0
2.673198587150E2,1.003612498460E1
2.674726694704E2,1.031606083398E1
2.676111777414E2,1.053643238683E1
2.677195755187E2,1.067806270269E1
2.678279732959E2,1.081969301856E1
2.679363710732E2,1.096132333442E1
2.680447688504E2,1.110295365028E1
2.681621997758E2,1.128396613027E1
2.683699621822E2,1.155936418394E1
2.684783599595E2,1.174039398238E1
2.686036948895E2,1.190415403510E1
2.687493544027E2,1.216095639890E1
2.688818405749E2,1.244093121480E1
2.690542231512E2,1.272772445032E1
2.692070339067E2,1.300766029970E1
2.693794164830E2,1.329445353521E1
2.695487880100E2,1.359819432106E1
2.695984703246E2,1.374762010598E1
2.697249343980E2,1.393649516403E1
2.698333321753E2,1.407812547990E1
2.699417299526E2,1.430663165486E1
2.700501277298E2,1.464506238624E1
2.701585255071E2,1.485317932896E1
2.703030558768E2,1.514337491906E1
2.703699011728E2,1.535127603056E1
2.704701691167E2,1.551301566915E1
2.705586939682E2,1.567004988382E1
2.707366469858E2,1.599357245713E1
2.708034922818E2,1.625082142056E1
2.709413983429E2,1.655028858927E1
2.711160392063E2,1.683441803010E1
2.711883043911E2,1.703386600425E1
2.712370833909E2,1.724285709594E1
2.713689673532E2,1.752657601725E1
2.714258761863E2,1.765412123457E1
2.715832336263E2,1.800179577730E1
2.716760943888E2,1.832973663457E1
2.717510695181E2,1.850452659408E1
2.719335391098E2,1.884163332966E1
2.720121274983E2,1.905246688836E1
2.720584976586E2,1.916900045541E1
2.721042656090E2,1.936876658400E1
2.722180832751E2,1.967172738998E1
