#' @name TOCON_A6_UVA.data
#' @note
#' TOCON_A6
#' UVA pre-amplified SiC UV Photodetector
#' Manufacturer: sglux GmbH, Max-Planck-Str. 3, D-12489 Berlin
#' \url{http://www.sglux.de/}
#'
#' @references Datasheet TOCON_A6 Rev. 1.2
#'
w.length,s.e.response
259.091,1.04E-06
261.157,1.41E-06
263.223,1.98E-06
265.289,2.79E-06
267.769,3.79E-06
270.248,5.14E-06
272.727,6.97E-06
275.207,9.45E-06
276.033,1.14E-05
277.686,1.61E-05
279.339,2.27E-05
281.405,3.19E-05
283.884,4.17E-05
286.777,5.44E-05
290.083,7.38E-05
292.562,9.63E-05
295.041,0.000130528
296.694,0.00018385
297.934,0.000258954
299.587,0.000378889
300.826,0.00053367
302.066,0.00078084
303.719,0.00109982
304.959,0.00160921
306.612,0.00226658
307.851,0.00319251
309.091,0.00467112
310.331,0.00657933
311.983,0.00962656
313.636,0.0135591
315.289,0.0190982
317.769,0.0258954
320.248,0.0351119
323.14,0.0458308
326.86,0.053367
330.579,0.0598218
334.711,0.0598218
338.843,0.0554372
340.496,0.0554372
344.215,0.0476087
347.934,0.0393588
351.653,0.0338007
354.959,0.0269
357.851,0.0206087
360.744,0.0151991
363.636,0.0116444
366.529,0.00858785
368.595,0.00633363
371.074,0.00449669
372.727,0.00319251
374.793,0.00226658
376.446,0.00160921
378.512,0.00118681
380.579,0.000842597
383.058,0.000621425
385.124,0.000441192
386.777,0.000313233
388.43,0.000222386
390.083,0.000157887
391.322,0.000107909
392.975,7.66E-05
394.215,5.44E-05
395.868,3.72E-05
397.107,2.64E-05
398.76,1.80E-05
400.413,1.33E-05
402.893,9.45E-06
404.545,6.97E-06
405.372,4.76E-06
405.785,3.25E-06
406.612,2.22E-06
407.025,1.52E-06
407.438,1.08E-06
