#' @name Thies_E1c.spct
#' @note
#' Thies Clima E1.c broadband UVB sensor.
#' Digitized with 'DigitizeIt' from manufacturers manual. This are approximate
#' data, both because of the digitizing process, and because they are
#' either typical values or for a particular sensor unit. Individual sensor units
#' are expected to differ to some degree in spectral response.
#' 
#' Manufacturer: Thies Clima, Göttingen, DE
#'  \url{http://www.thiesclima.com/}
#'
w.length,         s.e.response
2.499959041852E2,0
2.568738011209E2,4.017311643719E-2
2.637353147975E2,1.005112942092E-1
2.681028336321E2,1.601916608480E-1
2.715329789415E2,2.292629261851E-1
2.742681963653E2,2.954654917412E-1
2.765303710496E2,3.717572939418E-1
2.780999596441E2,4.422999876019E-1
2.798961169763E2,5.200398001680E-1
2.821641461500E2,5.891305804696E-1
2.846622567551E2,6.610978665379E-1
2.876240429167E2,7.344975510001E-1
2.903604312383E2,7.992599121765E-1
2.919569504837E2,8.366779051011E-1
2.928562000477E2,8.741076070043E-1
2.946535282778E2,9.504072151907E-1
2.981024079531E2,9.964352104509E-1
3.000285349489E2,9.143123368590E-1
3.005519262967E2,8.422943118830E-1
3.013089117695E2,7.688321795343E-1
3.016010507880E2,6.953778531715E-1
3.023615489544E2,6.175951076834E-1
3.033497867565E2,5.455692767217E-1
3.038755199000E2,4.706708429861E-1
3.057981342021E2,3.928685825336E-1
3.074824707878E2,3.222712469729E-1
3.093992306006E2,2.516700084194E-1
3.127117006741E2,1.796051475286E-1
3.162530812812E2,1.118569967844E-1
3.221128396704E2,5.127083801018E-2
3.284280773310E2,2.198508288597E-3
3.386582120190E2,0
3.447035577206E2,0
4.004816195423E2,0
