#' @name TOCON_UVC.data
#' @note
#' TOCON_UVC (TOCON_C).
#' Pre-amplified SiC UV-C Photodetector.
#' Manufacturer: sglux GmbH, Max-Planck-Str. 3, D-12489 Berlin.
#' Digitized with 'enguage' from manufacturers brochures. This are approximate
#' data, both because of the digitizing process, and because they are
#' either typical values or for a particular sensor unit. Individual sensor units
#' are expected to differ to some degree in spectral response.
#'
#' @references 
#' TOCON selection guide Rev. 2.1
#' \url{http://www.sglux.de/}
#'
w.length,s.e.response
2.012341894653E2,2.632579919836E-3
2.015460206664E2,2.635876232743E-3
2.017936513260E2,2.638493892993E-3
2.020687965034E2,2.641402404382E-3
2.023439416808E2,2.644310915770E-3
2.026190868581E2,2.647219427159E-3
2.028942320355E2,2.650127938548E-3
2.031693772129E2,2.653036449937E-3
2.034445223903E2,2.655944961325E-3
2.037196675677E2,2.658853472714E-3
2.039948127450E2,2.661761984103E-3
2.042699579224E2,2.664670495492E-3
2.045451030998E2,2.667579006881E-3
2.048202482772E2,2.670487518269E-3
2.050953934546E2,2.673396029658E-3
2.053705386319E2,2.676304541047E-3
2.056456838093E2,2.679213052436E-3
2.059208289867E2,2.682121563825E-3
2.061959741641E2,2.685030075213E-3
2.064711193415E2,2.687938586602E-3
2.067462645188E2,2.690847097991E-3
2.070214096962E2,2.693755609380E-3
2.072965548736E2,2.696664120768E-3
2.075717000510E2,2.699572632157E-3
2.078468452283E2,2.702481143546E-3
2.081219904057E2,2.705389654935E-3
2.083971355831E2,2.708298166324E-3
2.086722807605E2,2.711206677712E-3
2.089474380567E2,2.755500882404E-3
2.092226195904E2,2.882566473702E-3
2.094978314212E2,3.113096298256E-3
2.097730796084E2,3.467783202720E-3
2.100482974985E2,3.719005873926E-3
2.103845860486E2,3.722560721179E-3
2.121200160337E2,5.552410957945E-3
2.128923368849E2,6.728830409421E-3
2.133509121805E2,6.733677928402E-3
2.136260694767E2,6.777972133094E-3
2.139012510104E2,6.905037724392E-3
2.141764628412E2,7.135567548946E-3
2.144517110284E2,7.490254453410E-3
2.147269289185E2,7.741477124616E-3
2.152698778789E2,9.243009113502E-3
2.155201405682E2,9.937778905870E-3
2.161953232099E2,1.101266372519E-2
2.169218984977E2,1.318618880371E-2
2.171721879638E2,1.397240127081E-2
2.179173950947E2,1.554780627500E-2
2.181801802528E2,1.622063613875E-2
2.185014841984E2,1.725275949271E-2
2.187969010943E2,1.796978329253E-2
2.193174344632E2,1.912619862015E-2
2.195328901196E2,1.985203379562E-2
2.199770914827E2,2.278446249681E-2
2.206286863279E2,2.757433928366E-2
2.209045655581E2,3.008403836082E-2
2.210916721733E2,3.145528721769E-2
2.214988760019E2,3.500140778231E-2
2.216742204297E2,3.675377218827E-2
2.219558778160E2,3.970015005814E-2
2.222642530822E2,4.244313425503E-2
2.226023924613E2,4.503862749313E-2
2.227556645481E2,4.645287499753E-2
